month,de,vaccinerede,mfr,måneders,allerede,vaccinen,ved,mæslinger,udbrud,år,voksne,vaccination,røde,undersøgelser,vaccinen,levende,før,ved,alderen,haft,gives,hundevirus,kan,flere,børn,vaccineres,hunde,vaccine,både,års,mæslinge,fåresyge
2010-12,255,0,26,124,74,169,179,6,127,266,314,213,175,257,169,208,170,179,213,203,121,0,206,220,270,104,283,58,129,147,23,57
2011-01,303,14,34,252,61,148,278,11,232,316,352,407,218,397,148,276,186,278,317,249,161,0,265,269,336,136,361,91,188,197,15,60
2011-02,235,28,48,170,63,99,216,60,152,231,376,236,183,288,99,201,132,216,233,187,163,0,211,223,279,64,305,67,197,154,106,54
2011-03,240,28,35,160,42,120,235,25,121,229,263,226,192,295,120,212,143,235,240,265,152,68,210,227,263,80,290,73,245,157,70,52
2011-04,245,0,60,204,79,131,230,60,81,215,269,225,180,218,131,233,147,230,285,202,147,0,209,209,254,102,281,77,213,161,115,54
2011-05,310,0,48,265,99,137,301,32,227,285,333,276,219,322,137,279,202,301,254,252,210,0,273,285,300,91,348,93,279,214,103,67
2011-06,267,14,39,251,53,128,252,32,108,217,234,272,190,217,128,206,139,252,177,214,162,0,220,196,245,73,285,74,273,163,115,45
2011-07,407,0,35,353,79,143,285,15,239,246,279,303,233,131,143,196,157,285,197,259,204,0,270,228,316,128,430,68,343,184,18,60
2011-08,244,0,26,223,54,131,220,11,65,239,260,217,209,187,131,203,137,220,145,220,155,269,222,217,265,92,291,83,220,195,29,61
2011-09,245,0,17,234,69,114,237,6,133,241,253,245,228,224,114,178,149,237,221,284,151,66,231,224,260,85,259,64,179,207,57,43
2011-10,294,0,39,300,86,111,289,16,192,297,330,352,245,309,111,251,199,289,252,288,184,65,297,317,353,114,345,113,183,226,85,92
2011-11,235,0,33,211,72,132,224,9,88,263,296,294,207,297,132,185,155,224,215,307,155,0,242,256,283,72,271,75,130,183,53,64
2011-12,237,13,31,215,75,124,203,8,71,265,256,224,202,245,124,209,170,203,219,274,154,0,235,249,267,68,275,63,117,182,53,68
2012-01,285,6,35,265,75,142,292,7,145,325,311,315,233,307,142,252,183,292,328,322,203,0,312,299,356,129,367,110,159,262,85,84
2012-02,231,0,32,230,66,80,239,7,109,242,300,200,190,216,80,183,154,239,298,249,159,0,251,237,284,118,266,77,216,171,72,91
2012-03,228,0,36,295,68,122,252,20,123,242,232,229,206,258,122,202,163,252,227,232,163,0,252,253,277,95,261,74,175,149,70,64
2012-04,283,11,37,221,73,111,301,20,163,284,315,243,237,247,111,251,204,301,321,301,226,0,305,299,342,122,348,87,229,207,75,79
2012-05,229,6,40,238,57,145,257,15,95,237,255,218,190,258,145,258,174,257,297,268,176,61,248,255,270,108,280,75,213,171,50,65
2012-06,242,0,31,269,59,79,276,17,85,235,223,255,178,275,79,207,169,276,198,219,175,234,261,254,284,123,276,77,197,180,49,39
2012-07,345,0,29,282,78,111,337,10,95,269,264,284,212,143,111,268,181,337,225,245,253,203,331,256,360,168,418,119,294,201,42,63
2012-08,206,0,30,301,62,127,270,9,86,254,237,243,187,181,127,233,165,270,192,258,199,0,262,239,295,109,275,134,222,197,0,48
2012-09,264,0,41,301,81,198,332,8,198,308,303,360,275,327,198,258,208,332,298,342,242,54,339,321,383,192,329,253,169,226,0,45
2012-10,210,0,29,290,62,123,254,8,110,236,270,302,225,257,123,211,169,254,217,214,190,0,274,261,305,135,282,149,132,159,11,65
