month,de,mfr,måneders,allerede,vaccinen,ved,mæslinger,udbrud,år,voksne,vaccination,røde,undersøgelser,vaccinen,levende,før,ved,alderen,haft,gives,kan,flere,børn,vaccineres,hunde,vaccine,både,års,fåresyge
2011-01,304,17,0,0,0,278,0,280,315,346,422,212,383,0,322,180,278,84,306,222,258,275,339,0,366,89,206,185,0
2011-02,237,28,0,0,0,218,40,52,227,350,251,177,352,0,206,136,218,74,260,205,209,222,281,0,298,69,201,145,0
2011-03,240,17,0,0,0,233,13,0,230,262,226,192,349,0,236,151,233,86,271,205,206,224,258,0,284,69,254,150,52
2011-04,243,29,0,0,0,235,37,0,215,266,244,180,341,0,273,151,235,90,266,208,204,213,255,0,285,77,220,146,56
2011-05,309,24,0,108,0,304,17,252,277,346,285,220,436,0,302,198,304,68,317,269,268,281,303,0,351,94,280,202,60
2011-06,268,23,0,0,0,250,20,250,218,238,269,190,73,0,237,140,250,63,350,196,215,204,245,0,274,74,277,151,58
2011-07,408,17,0,0,0,290,11,332,239,270,315,230,0,0,273,158,290,60,380,269,265,230,318,0,406,72,380,168,58
2011-08,245,13,0,0,0,222,7,0,242,253,247,210,0,0,237,133,222,69,272,190,216,214,265,0,284,85,228,185,58
2011-09,246,15,0,0,0,238,5,50,239,235,258,232,237,0,205,149,238,59,303,190,223,219,262,0,258,63,180,203,58
2011-10,294,16,0,0,0,290,7,120,295,323,387,245,389,0,282,199,290,70,396,227,285,317,356,0,336,112,194,217,58
2011-11,235,18,0,96,0,225,6,0,254,297,292,211,313,0,211,153,225,69,282,197,233,255,283,0,262,75,134,172,55
2011-12,238,16,93,111,0,203,6,0,259,252,212,202,272,0,237,170,203,63,272,201,228,250,270,0,264,60,126,177,70
2012-01,285,16,0,72,0,296,5,185,320,308,313,231,330,0,275,183,296,88,338,248,304,311,363,0,358,109,170,242,47
2012-02,232,16,0,0,0,243,6,175,237,297,217,184,255,0,196,156,243,81,234,201,245,248,286,0,269,81,216,161,67
2012-03,230,21,90,0,0,258,12,182,240,226,229,206,287,0,252,160,258,67,258,220,245,251,280,53,261,71,181,147,62
