Web Search interest: kighoste
Denmark Jan 2011 - Jan 2016

Interest over time
Month,kighoste
2011-01,16
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,17
2011-09,14
2011-10,14
2011-11,14
2011-12,14
2012-01,14
2012-02,17
2012-03,12
2012-04,12
2012-05,15
2012-06,19
2012-07,18
2012-08,18
2012-09,17
2012-10,100
2012-11,36
2012-12,25
2013-01,20
2013-02,13
2013-03,11
2013-04,20
2013-05,11
2013-06,12
2013-07,8
2013-08,8
2013-09,8
2013-10,12
2013-11,12
2013-12,14
2014-01,11
2014-02,17
2014-03,12
2014-04,12
2014-05,9
2014-06,12
2014-07,13
2014-08,11
2014-09,15
2014-10,15
2014-11,18
2014-12,14
2015-01,17
2015-02,23
2015-03,15
2015-04,10
2015-05,11
2015-06,15
2015-07,11
2015-08,11
2015-09,14
2015-10,11
2015-11,18
2015-12,16
2016-01,24


Top subregions for kighoste
Subregion,kighoste
Capital Region of Denmark,100
Central Denmark Region,87
Syddanmark,83
North Denmark Region,0
Region Zealand,0


Top cities for kighoste
City,kighoste
Copenhagen,100









