month,indeholder,stivkrampe,vare,andre,te,år,polio,di,vaccinen,hib,giver,samt,dræbte,i,ki,bakterien,difteri,vaccine,sygdomme,beskyttelse,infektion,tre,efter,pol,mindst,kighoste
2011-01,274,53,93,270,275,315,53,249,0,0,214,0,40,416,180,0,0,89,415,289,344,271,482,325,53,16
2011-02,227,64,84,244,212,227,40,201,0,0,182,193,72,330,94,0,0,69,319,259,283,182,383,247,59,0
2011-03,221,42,80,209,185,230,51,189,0,0,182,279,40,336,86,0,0,69,334,234,266,192,377,284,252,0
2011-04,229,57,75,224,185,215,42,206,0,0,175,244,49,339,84,0,45,77,276,228,251,189,355,288,268,0
2011-05,277,58,92,303,236,277,44,255,0,0,226,122,49,423,103,100,0,94,403,298,362,254,413,351,61,0
2011-06,202,64,70,234,177,218,54,227,0,0,177,0,34,338,82,0,0,74,343,237,283,175,304,268,0,0
2011-07,226,68,83,262,226,239,44,276,0,0,205,0,76,417,94,0,0,72,351,332,404,183,380,348,0,0
2011-08,184,70,62,229,188,242,44,192,0,0,187,0,53,328,83,0,0,85,282,263,275,166,275,291,0,17
2011-09,214,57,63,223,205,239,46,177,0,0,208,77,52,334,102,0,0,63,315,290,257,193,278,304,152,14
2011-10,292,45,79,287,263,295,43,216,0,0,261,332,39,415,131,0,0,112,359,385,317,286,336,343,252,14
2011-11,267,60,77,242,238,254,68,192,0,0,190,285,41,329,95,0,0,75,313,293,237,218,262,268,193,14
2011-12,237,55,75,272,268,259,39,214,0,0,184,309,52,319,95,0,0,60,267,312,248,231,242,305,192,14
2012-01,364,61,100,289,415,320,41,252,0,0,240,278,54,410,115,0,35,109,371,358,316,328,312,361,250,14
2012-02,237,47,79,241,376,237,46,199,0,0,220,221,50,341,97,0,32,81,299,247,241,230,244,273,217,17
2012-03,262,64,71,223,345,240,55,195,0,0,249,209,42,337,94,0,34,71,289,193,238,207,246,265,219,12
2012-04,300,50,82,305,400,284,45,253,0,0,266,296,43,417,121,0,35,85,362,252,313,255,293,354,246,12
2012-05,262,58,76,239,263,229,48,204,0,0,205,238,41,335,160,0,36,73,317,194,250,222,235,309,189,15
2012-06,232,58,65,251,242,232,40,222,0,0,214,245,46,336,99,0,38,79,327,185,248,205,234,322,190,19
2012-07,230,83,80,319,296,267,59,307,0,0,233,316,46,421,112,0,30,118,365,276,322,235,290,403,50,18
2012-08,219,66,72,232,212,243,36,192,0,0,202,224,35,329,97,0,30,129,263,212,266,203,236,311,161,18
2012-09,347,64,87,293,268,303,36,229,0,0,285,264,62,422,107,0,30,243,353,225,328,291,295,361,246,17
2012-10,265,55,78,222,222,234,36,175,0,0,235,197,35,333,93,0,30,152,279,173,242,226,230,298,180,100
2012-11,279,60,80,260,232,266,48,190,0,0,224,241,51,338,90,0,32,123,282,179,214,234,231,313,168,36
2012-12,329,51,92,324,290,356,41,236,0,0,280,228,49,425,110,0,25,265,279,223,332,330,271,402,287,25
2013-01,301,54,80,226,226,267,50,198,0,0,229,187,57,347,85,0,27,189,280,181,270,264,236,318,176,20
2013-02,281,58,69,224,227,249,51,207,0,0,226,178,51,345,91,0,23,125,277,158,263,234,233,309,179,13
2013-03,328,58,87,281,274,300,52,244,0,0,280,266,45,439,105,0,23,135,347,199,312,261,285,421,243,11
2013-04,285,60,70,233,214,237,43,203,0,0,247,206,36,343,85,0,23,120,270,177,235,204,228,362,179,20
2013-05,261,70,63,252,193,247,50,221,0,0,236,195,44,354,79,0,23,111,302,190,273,222,231,328,177,11
2013-06,286,87,77,294,232,300,35,270,0,0,319,218,43,435,91,0,33,171,399,221,339,246,278,359,233,12
2013-07,173,100,58,233,196,224,36,217,0,0,245,196,44,354,81,0,22,138,279,191,281,174,231,276,198,8
2013-08,252,93,64,257,192,270,49,180,0,0,232,197,38,345,71,0,22,134,272,179,236,192,228,267,233,8
2013-09,315,70,110,348,264,336,49,227,0,0,289,246,43,440,87,0,22,173,357,250,326,275,282,325,207,8
2013-10,276,67,80,253,225,268,88,177,0,0,265,193,45,357,71,0,22,115,272,203,264,203,232,264,192,12
