Web Search interest: anvendes
Denmark 2010-2014

Interest over time
Month,anvendes
2010-01,63
2010-02,62
2010-03,67
2010-04,61
2010-05,61
2010-06,83
2010-07,77
2010-08,64
2010-09,70
2010-10,72
2010-11,75
2010-12,75
2011-01,67
2011-02,57
2011-03,78
2011-04,56
2011-05,68
2011-06,70
2011-07,45
2011-08,52
2011-09,60
2011-10,62
2011-11,67
2011-12,70
2012-01,71
2012-02,58
2012-03,67
2012-04,65
2012-05,74
2012-06,63
2012-07,43
2012-08,41
2012-09,67
2012-10,66
2012-11,80
2012-12,61
2013-01,70
2013-02,66
2013-03,55
2013-04,70
2013-05,59
2013-06,71
2013-07,46
2013-08,53
2013-09,91
2013-10,84
2013-11,86
2013-12,69
2014-01,80
2014-02,90
2014-03,92
2014-04,93
2014-05,92
2014-06,63
2014-07,46
2014-08,62
2014-09,100
2014-10,94
2014-11,84
2014-12,81


Top subregions for anvendes
Subregion,anvendes
North Denmark Region,100
Region Zealand,98
Syddanmark,94
Central Denmark Region,91
Capital Region of Denmark,72


Top cities for anvendes
City,anvendes
Aalborg,100
Odense,96
Aarhus,80
Copenhagen,65









