Web Search interest: beskytter
Denmark 2010-2014

Interest over time
Month,beskytter
2010-01,72
2010-02,75
2010-03,79
2010-04,83
2010-05,86
2010-06,66
2010-07,66
2010-08,66
2010-09,88
2010-10,75
2010-11,81
2010-12,88
2011-01,63
2011-02,67
2011-03,68
2011-04,56
2011-05,68
2011-06,72
2011-07,71
2011-08,56
2011-09,68
2011-10,60
2011-11,57
2011-12,75
2012-01,59
2012-02,57
2012-03,92
2012-04,95
2012-05,82
2012-06,80
2012-07,70
2012-08,74
2012-09,87
2012-10,91
2012-11,74
2012-12,89
2013-01,82
2013-02,79
2013-03,73
2013-04,73
2013-05,73
2013-06,87
2013-07,86
2013-08,74
2013-09,79
2013-10,76
2013-11,86
2013-12,85
2014-01,82
2014-02,86
2014-03,81
2014-04,82
2014-05,100
2014-06,82
2014-07,79
2014-08,65
2014-09,95
2014-10,88
2014-11,86
2014-12,98


Top subregions for beskytter
Subregion,beskytter
North Denmark Region,100
Region Zealand,90
Central Denmark Region,90
Syddanmark,87
Capital Region of Denmark,78


Top cities for beskytter
City,beskytter
Aarhus,100
Copenhagen,89









