Web Search interest: doser
Denmark 2010-2014

Interest over time
Month,doser
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,100
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,99
2012-07,81
2012-08,81
2012-09,81
2012-10,87
2012-11,92
2012-12,71
2013-01,71
2013-02,71
2013-03,64
2013-04,64
2013-05,64
2013-06,74
2013-07,85
2013-08,71
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,83
2014-10,0
2014-11,0
2014-12,0


Top subregions for doser
Subregion,doser
Capital Region of Denmark,100
North Denmark Region,0
Central Denmark Region,0
Syddanmark,0
Region Zealand,0


Top cities for doser
City,doser
Copenhagen,100



Top searches for doser
i doser,100






