Web Search interest: human
Denmark 2010-2014

Interest over time
Week,human
2010-01-03 - 2010-01-09,53
2010-01-10 - 2010-01-16,54
2010-01-17 - 2010-01-23,51
2010-01-24 - 2010-01-30,53
2010-01-31 - 2010-02-06,53
2010-02-07 - 2010-02-13,55
2010-02-14 - 2010-02-20,63
2010-02-21 - 2010-02-27,67
2010-02-28 - 2010-03-06,61
2010-03-07 - 2010-03-13,60
2010-03-14 - 2010-03-20,64
2010-03-21 - 2010-03-27,57
2010-03-28 - 2010-04-03,45
2010-04-04 - 2010-04-10,62
2010-04-11 - 2010-04-17,60
2010-04-18 - 2010-04-24,59
2010-04-25 - 2010-05-01,63
2010-05-02 - 2010-05-08,69
2010-05-09 - 2010-05-15,65
2010-05-16 - 2010-05-22,72
2010-05-23 - 2010-05-29,64
2010-05-30 - 2010-06-05,64
2010-06-06 - 2010-06-12,56
2010-06-13 - 2010-06-19,63
2010-06-20 - 2010-06-26,53
2010-06-27 - 2010-07-03,49
2010-07-04 - 2010-07-10,50
2010-07-11 - 2010-07-17,45
2010-07-18 - 2010-07-24,56
2010-07-25 - 2010-07-31,47
2010-08-01 - 2010-08-07,54
2010-08-08 - 2010-08-14,48
2010-08-15 - 2010-08-21,49
2010-08-22 - 2010-08-28,56
2010-08-29 - 2010-09-04,60
2010-09-05 - 2010-09-11,62
2010-09-12 - 2010-09-18,64
2010-09-19 - 2010-09-25,55
2010-09-26 - 2010-10-02,72
2010-10-03 - 2010-10-09,59
2010-10-10 - 2010-10-16,52
2010-10-17 - 2010-10-23,57
2010-10-24 - 2010-10-30,59
2010-10-31 - 2010-11-06,60
2010-11-07 - 2010-11-13,67
2010-11-14 - 2010-11-20,60
2010-11-21 - 2010-11-27,55
2010-11-28 - 2010-12-04,59
2010-12-05 - 2010-12-11,67
2010-12-12 - 2010-12-18,61
2010-12-19 - 2010-12-25,48
2010-12-26 - 2011-01-01,46
2011-01-02 - 2011-01-08,63
2011-01-09 - 2011-01-15,55
2011-01-16 - 2011-01-22,60
2011-01-23 - 2011-01-29,58
2011-01-30 - 2011-02-05,59
2011-02-06 - 2011-02-12,59
2011-02-13 - 2011-02-19,58
2011-02-20 - 2011-02-26,65
2011-02-27 - 2011-03-05,61
2011-03-06 - 2011-03-12,59
2011-03-13 - 2011-03-19,54
2011-03-20 - 2011-03-26,58
2011-03-27 - 2011-04-02,64
2011-04-03 - 2011-04-09,62
2011-04-10 - 2011-04-16,54
2011-04-17 - 2011-04-23,51
2011-04-24 - 2011-04-30,69
2011-05-01 - 2011-05-07,60
2011-05-08 - 2011-05-14,63
2011-05-15 - 2011-05-21,59
2011-05-22 - 2011-05-28,59
2011-05-29 - 2011-06-04,51
2011-06-05 - 2011-06-11,89
2011-06-12 - 2011-06-18,62
2011-06-19 - 2011-06-25,60
2011-06-26 - 2011-07-02,52
2011-07-03 - 2011-07-09,52
2011-07-10 - 2011-07-16,45
2011-07-17 - 2011-07-23,55
2011-07-24 - 2011-07-30,51
2011-07-31 - 2011-08-06,46
2011-08-07 - 2011-08-13,54
2011-08-14 - 2011-08-20,55
2011-08-21 - 2011-08-27,88
2011-08-28 - 2011-09-03,100
2011-09-04 - 2011-09-10,83
2011-09-11 - 2011-09-17,68
2011-09-18 - 2011-09-24,69
2011-09-25 - 2011-10-01,66
2011-10-02 - 2011-10-08,68
2011-10-09 - 2011-10-15,64
2011-10-16 - 2011-10-22,66
2011-10-23 - 2011-10-29,65
