Web Search interest: indeholder
Denmark 2010-2014

Interest over time
Week,indeholder
2010-01-03 - 2010-01-09,69
2010-01-10 - 2010-01-16,68
2010-01-17 - 2010-01-23,63
2010-01-24 - 2010-01-30,63
2010-01-31 - 2010-02-06,58
2010-02-07 - 2010-02-13,60
2010-02-14 - 2010-02-20,63
2010-02-21 - 2010-02-27,59
2010-02-28 - 2010-03-06,59
2010-03-07 - 2010-03-13,59
2010-03-14 - 2010-03-20,69
2010-03-21 - 2010-03-27,69
2010-03-28 - 2010-04-03,69
2010-04-04 - 2010-04-10,69
2010-04-11 - 2010-04-17,69
2010-04-18 - 2010-04-24,60
2010-04-25 - 2010-05-01,61
2010-05-02 - 2010-05-08,63
2010-05-09 - 2010-05-15,70
2010-05-16 - 2010-05-22,77
2010-05-23 - 2010-05-29,77
2010-05-30 - 2010-06-05,78
2010-06-06 - 2010-06-12,78
2010-06-13 - 2010-06-19,79
2010-06-20 - 2010-06-26,0
2010-06-27 - 2010-07-03,0
2010-07-04 - 2010-07-10,0
2010-07-11 - 2010-07-17,0
2010-07-18 - 2010-07-24,0
2010-07-25 - 2010-07-31,0
2010-08-01 - 2010-08-07,0
2010-08-08 - 2010-08-14,0
2010-08-15 - 2010-08-21,0
2010-08-22 - 2010-08-28,62
2010-08-29 - 2010-09-04,68
2010-09-05 - 2010-09-11,72
2010-09-12 - 2010-09-18,60
2010-09-19 - 2010-09-25,70
2010-09-26 - 2010-10-02,60
2010-10-03 - 2010-10-09,64
2010-10-10 - 2010-10-16,67
2010-10-17 - 2010-10-23,64
2010-10-24 - 2010-10-30,64
2010-10-31 - 2010-11-06,64
2010-11-07 - 2010-11-13,64
2010-11-14 - 2010-11-20,64
2010-11-21 - 2010-11-27,66
2010-11-28 - 2010-12-04,65
2010-12-05 - 2010-12-11,67
2010-12-12 - 2010-12-18,70
2010-12-19 - 2010-12-25,51
2010-12-26 - 2011-01-01,51
2011-01-02 - 2011-01-08,51
2011-01-09 - 2011-01-15,60
2011-01-16 - 2011-01-22,62
2011-01-23 - 2011-01-29,49
2011-01-30 - 2011-02-05,51
2011-02-06 - 2011-02-12,54
2011-02-13 - 2011-02-19,46
2011-02-20 - 2011-02-26,55
2011-02-27 - 2011-03-05,56
2011-03-06 - 2011-03-12,51
2011-03-13 - 2011-03-19,55
2011-03-20 - 2011-03-26,51
2011-03-27 - 2011-04-02,61
2011-04-03 - 2011-04-09,59
2011-04-10 - 2011-04-16,53
2011-04-17 - 2011-04-23,54
2011-04-24 - 2011-04-30,55
2011-05-01 - 2011-05-07,51
2011-05-08 - 2011-05-14,61
2011-05-15 - 2011-05-21,48
2011-05-22 - 2011-05-28,48
2011-05-29 - 2011-06-04,48
2011-06-05 - 2011-06-11,48
2011-06-12 - 2011-06-18,53
2011-06-19 - 2011-06-25,48
2011-06-26 - 2011-07-02,48
2011-07-03 - 2011-07-09,48
2011-07-10 - 2011-07-16,50
2011-07-17 - 2011-07-23,52
2011-07-24 - 2011-07-30,54
2011-07-31 - 2011-08-06,56
2011-08-07 - 2011-08-13,44
2011-08-14 - 2011-08-20,46
2011-08-21 - 2011-08-27,54
2011-08-28 - 2011-09-03,61
2011-09-04 - 2011-09-10,50
2011-09-11 - 2011-09-17,52
2011-09-18 - 2011-09-24,52
2011-09-25 - 2011-10-01,72
2011-10-02 - 2011-10-08,74
2011-10-09 - 2011-10-15,56
2011-10-16 - 2011-10-22,49
2011-10-23 - 2011-10-29,58
2011-10-30 - 2011-11-05,68
2011-11-06 - 2011-11-12,61
2011-11-13 - 2011-11-19,74
2011-11-20 - 2011-11-26,72
2011-11-27 - 2011-12-03,50
2011-12-04 - 2011-12-10,65
2011-12-11 - 2011-12-17,72
2011-12-18 - 2011-12-24,56
2011-12-25 - 2011-12-31,75
2012-01-01 - 2012-01-07,72
2012-01-08 - 2012-01-14,79
2012-01-15 - 2012-01-21,62
2012-01-22 - 2012-01-28,66
2012-01-29 - 2012-02-04,67
2012-02-05 - 2012-02-11,66
2012-02-12 - 2012-02-18,58
2012-02-19 - 2012-02-25,59
2012-02-26 - 2012-03-03,69
2012-03-04 - 2012-03-10,65
2012-03-11 - 2012-03-17,71
2012-03-18 - 2012-03-24,61
2012-03-25 - 2012-03-31,67
2012-04-01 - 2012-04-07,48
2012-04-08 - 2012-04-14,64
2012-04-15 - 2012-04-21,70
2012-04-22 - 2012-04-28,67
2012-04-29 - 2012-05-05,62
2012-05-06 - 2012-05-12,58
2012-05-13 - 2012-05-19,64
2012-05-20 - 2012-05-26,60
2012-05-27 - 2012-06-02,77
2012-06-03 - 2012-06-09,57
2012-06-10 - 2012-06-16,67
2012-06-17 - 2012-06-23,55
2012-06-24 - 2012-06-30,50
2012-07-01 - 2012-07-07,41
2012-07-08 - 2012-07-14,48
2012-07-15 - 2012-07-21,53
2012-07-22 - 2012-07-28,41
2012-07-29 - 2012-08-04,51
2012-08-05 - 2012-08-11,46
2012-08-12 - 2012-08-18,49
2012-08-19 - 2012-08-25,59
2012-08-26 - 2012-09-01,56
2012-09-02 - 2012-09-08,58
2012-09-09 - 2012-09-15,65
2012-09-16 - 2012-09-22,72
2012-09-23 - 2012-09-29,63
2012-09-30 - 2012-10-06,66
2012-10-07 - 2012-10-13,78
2012-10-14 - 2012-10-20,51
2012-10-21 - 2012-10-27,75
2012-10-28 - 2012-11-03,65
2012-11-04 - 2012-11-10,64
2012-11-11 - 2012-11-17,73
2012-11-18 - 2012-11-24,79
2012-11-25 - 2012-12-01,71
2012-12-02 - 2012-12-08,79
2012-12-09 - 2012-12-15,76
2012-12-16 - 2012-12-22,68
2012-12-23 - 2012-12-29,37
2012-12-30 - 2013-01-05,52
2013-01-06 - 2013-01-12,74
2013-01-13 - 2013-01-19,69
2013-01-20 - 2013-01-26,74
2013-01-27 - 2013-02-02,69
2013-02-03 - 2013-02-09,73
2013-02-10 - 2013-02-16,60
2013-02-17 - 2013-02-23,72
2013-02-24 - 2013-03-02,75
2013-03-03 - 2013-03-09,63
2013-03-10 - 2013-03-16,83
2013-03-17 - 2013-03-23,69
2013-03-24 - 2013-03-30,51
2013-03-31 - 2013-04-06,65
2013-04-07 - 2013-04-13,83
2013-04-14 - 2013-04-20,64
2013-04-21 - 2013-04-27,65
2013-04-28 - 2013-05-04,72
2013-05-05 - 2013-05-11,72
2013-05-12 - 2013-05-18,62
2013-05-19 - 2013-05-25,67
2013-05-26 - 2013-06-01,67
2013-06-02 - 2013-06-08,64
2013-06-09 - 2013-06-15,65
2013-06-16 - 2013-06-22,64
2013-06-23 - 2013-06-29,43
2013-06-30 - 2013-07-06,37
2013-07-07 - 2013-07-13,54
2013-07-14 - 2013-07-20,42
2013-07-21 - 2013-07-27,43
2013-07-28 - 2013-08-03,52
2013-08-04 - 2013-08-10,52
2013-08-11 - 2013-08-17,55
2013-08-18 - 2013-08-24,66
2013-08-25 - 2013-08-31,60
2013-09-01 - 2013-09-07,51
2013-09-08 - 2013-09-14,54
2013-09-15 - 2013-09-21,70
2013-09-22 - 2013-09-28,66
2013-09-29 - 2013-10-05,74
2013-10-06 - 2013-10-12,67
2013-10-13 - 2013-10-19,58
2013-10-20 - 2013-10-26,77
2013-10-27 - 2013-11-02,80
2013-11-03 - 2013-11-09,74
2013-11-10 - 2013-11-16,65
2013-11-17 - 2013-11-23,73
2013-11-24 - 2013-11-30,84
2013-12-01 - 2013-12-07,66
2013-12-08 - 2013-12-14,74
2013-12-15 - 2013-12-21,74
2013-12-22 - 2013-12-28,43
2013-12-29 - 2014-01-04,52
2014-01-05 - 2014-01-11,89
2014-01-12 - 2014-01-18,84
2014-01-19 - 2014-01-25,99
2014-01-26 - 2014-02-01,72
2014-02-02 - 2014-02-08,80
2014-02-09 - 2014-02-15,59
2014-02-16 - 2014-02-22,77
2014-02-23 - 2014-03-01,73
2014-03-02 - 2014-03-08,100
2014-03-09 - 2014-03-15,96
2014-03-16 - 2014-03-22,83
2014-03-23 - 2014-03-29,90
2014-03-30 - 2014-04-05,82
2014-04-06 - 2014-04-12,71
2014-04-13 - 2014-04-19,47
2014-04-20 - 2014-04-26,74
2014-04-27 - 2014-05-03,69
2014-05-04 - 2014-05-10,90
2014-05-11 - 2014-05-17,78
2014-05-18 - 2014-05-24,64
2014-05-25 - 2014-05-31,67
2014-06-01 - 2014-06-07,46
2014-06-08 - 2014-06-14,61
2014-06-15 - 2014-06-21,73
2014-06-22 - 2014-06-28,55
2014-06-29 - 2014-07-05,50
2014-07-06 - 2014-07-12,45
2014-07-13 - 2014-07-19,51
2014-07-20 - 2014-07-26,44
2014-07-27 - 2014-08-02,49
2014-08-03 - 2014-08-09,48
2014-08-10 - 2014-08-16,52
2014-08-17 - 2014-08-23,68
2014-08-24 - 2014-08-30,64
2014-08-31 - 2014-09-06,70
2014-09-07 - 2014-09-13,65
2014-09-14 - 2014-09-20,83
2014-09-21 - 2014-09-27,84
2014-09-28 - 2014-10-04,86
2014-10-05 - 2014-10-11,81
2014-10-12 - 2014-10-18,49
2014-10-19 - 2014-10-25,88
2014-10-26 - 2014-11-01,89
2014-11-02 - 2014-11-08,85
2014-11-09 - 2014-11-15,97
2014-11-16 - 2014-11-22,88
2014-11-23 - 2014-11-29,81
2014-11-30 - 2014-12-06,83
2014-12-07 - 2014-12-13,77
2014-12-14 - 2014-12-20,90
2014-12-21 - 2014-12-27,42
2014-12-28 - 2015-01-03,47


Top subregions for indeholder
Subregion,indeholder
Region Zealand,100
Syddanmark,95
North Denmark Region,93
Central Denmark Region,87
Capital Region of Denmark,82


Top cities for indeholder
City,indeholder
Roskilde County,100
Herning,90
Randers,87
Samsø,85
Silkeborg,85
Odense,84
Hvidovre,81
Aalborg,80
Kolding,79
Frederiksberg,72
Aarhus,67
Copenhagen,60



Top searches for indeholder
ord der indeholder,100
kulhydrater,95



Rising searches for indeholder
kulhydrater,Breakout
ord der indeholder,Breakout



