Web Search interest: januar
Denmark 2010-2014

Interest over time
Week,januar
2010-01-03 - 2010-01-09,60
2010-01-10 - 2010-01-16,48
2010-01-17 - 2010-01-23,42
2010-01-24 - 2010-01-30,44
2010-01-31 - 2010-02-06,20
2010-02-07 - 2010-02-13,9
2010-02-14 - 2010-02-20,7
2010-02-21 - 2010-02-27,7
2010-02-28 - 2010-03-06,5
2010-03-07 - 2010-03-13,6
2010-03-14 - 2010-03-20,5
2010-03-21 - 2010-03-27,5
2010-03-28 - 2010-04-03,5
2010-04-04 - 2010-04-10,5
2010-04-11 - 2010-04-17,6
2010-04-18 - 2010-04-24,5
2010-04-25 - 2010-05-01,5
2010-05-02 - 2010-05-08,6
2010-05-09 - 2010-05-15,6
2010-05-16 - 2010-05-22,5
2010-05-23 - 2010-05-29,5
2010-05-30 - 2010-06-05,5
2010-06-06 - 2010-06-12,4
2010-06-13 - 2010-06-19,5
2010-06-20 - 2010-06-26,0
2010-06-27 - 2010-07-03,0
2010-07-04 - 2010-07-10,0
2010-07-11 - 2010-07-17,0
2010-07-18 - 2010-07-24,0
2010-07-25 - 2010-07-31,0
2010-08-01 - 2010-08-07,0
2010-08-08 - 2010-08-14,0
2010-08-15 - 2010-08-21,0
2010-08-22 - 2010-08-28,5
2010-08-29 - 2010-09-04,6
2010-09-05 - 2010-09-11,5
2010-09-12 - 2010-09-18,7
2010-09-19 - 2010-09-25,6
2010-09-26 - 2010-10-02,6
2010-10-03 - 2010-10-09,6
2010-10-10 - 2010-10-16,6
2010-10-17 - 2010-10-23,8
2010-10-24 - 2010-10-30,10
2010-10-31 - 2010-11-06,8
2010-11-07 - 2010-11-13,10
2010-11-14 - 2010-11-20,12
2010-11-21 - 2010-11-27,10
2010-11-28 - 2010-12-04,12
2010-12-05 - 2010-12-11,15
2010-12-12 - 2010-12-18,20
2010-12-19 - 2010-12-25,24
2010-12-26 - 2011-01-01,67
2011-01-02 - 2011-01-08,68
2011-01-09 - 2011-01-15,54
2011-01-16 - 2011-01-22,56
2011-01-23 - 2011-01-29,48
2011-01-30 - 2011-02-05,19
2011-02-06 - 2011-02-12,9
2011-02-13 - 2011-02-19,6
2011-02-20 - 2011-02-26,6
2011-02-27 - 2011-03-05,6
2011-03-06 - 2011-03-12,4
2011-03-13 - 2011-03-19,4
2011-03-20 - 2011-03-26,4
2011-03-27 - 2011-04-02,4
2011-04-03 - 2011-04-09,4
2011-04-10 - 2011-04-16,4
2011-04-17 - 2011-04-23,4
2011-04-24 - 2011-04-30,4
2011-05-01 - 2011-05-07,3
2011-05-08 - 2011-05-14,4
2011-05-15 - 2011-05-21,3
2011-05-22 - 2011-05-28,4
2011-05-29 - 2011-06-04,4
2011-06-05 - 2011-06-11,3
2011-06-12 - 2011-06-18,3
2011-06-19 - 2011-06-25,3
2011-06-26 - 2011-07-02,4
2011-07-03 - 2011-07-09,4
2011-07-10 - 2011-07-16,4
2011-07-17 - 2011-07-23,4
2011-07-24 - 2011-07-30,4
2011-07-31 - 2011-08-06,4
2011-08-07 - 2011-08-13,4
2011-08-14 - 2011-08-20,5
2011-08-21 - 2011-08-27,6
2011-08-28 - 2011-09-03,4
2011-09-04 - 2011-09-10,6
2011-09-11 - 2011-09-17,6
2011-09-18 - 2011-09-24,7
2011-09-25 - 2011-10-01,6
2011-10-02 - 2011-10-08,7
2011-10-09 - 2011-10-15,7
2011-10-16 - 2011-10-22,8
2011-10-23 - 2011-10-29,9
2011-10-30 - 2011-11-05,9
2011-11-06 - 2011-11-12,11
2011-11-13 - 2011-11-19,14
2011-11-20 - 2011-11-26,13
2011-11-27 - 2011-12-03,15
2011-12-04 - 2011-12-10,19
2011-12-11 - 2011-12-17,19
2011-12-18 - 2011-12-24,24
2011-12-25 - 2011-12-31,44
2012-01-01 - 2012-01-07,80
2012-01-08 - 2012-01-14,65
2012-01-15 - 2012-01-21,55
