Web Search interest: kondylomer
Denmark 2010-2014

Interest over time
Month,kondylomer
2010-01,70
2010-02,74
2010-03,63
2010-04,71
2010-05,69
2010-06,77
2010-07,85
2010-08,71
2010-09,100
2010-10,74
2010-11,56
2010-12,58
2011-01,73
2011-02,53
2011-03,72
2011-04,60
2011-05,75
2011-06,49
2011-07,57
2011-08,62
2011-09,56
2011-10,48
2011-11,51
2011-12,49
2012-01,47
2012-02,45
2012-03,55
2012-04,47
2012-05,48
2012-06,46
2012-07,54
2012-08,41
2012-09,59
2012-10,48
2012-11,51
2012-12,48
2013-01,52
2013-02,49
2013-03,50
2013-04,56
2013-05,35
2013-06,43
2013-07,51
2013-08,46
2013-09,39
2013-10,38
2013-11,42
2013-12,38
2014-01,38
2014-02,51
2014-03,39
2014-04,42
2014-05,36
2014-06,48
2014-07,42
2014-08,43
2014-09,35
2014-10,39
2014-11,35
2014-12,44


Top subregions for kondylomer
Subregion,kondylomer
Capital Region of Denmark,100
Syddanmark,72
Central Denmark Region,71
North Denmark Region,0
Region Zealand,0


Top cities for kondylomer
City,kondylomer
Copenhagen,100
Frederiksberg,95
Aarhus,78



Top searches for kondylomer
kønsvorter,100
kondylomer billeder,75



Rising searches for kondylomer
kondylomer billeder,+70%
kønsvorter,+70%



