Web Search interest: langvarig
Denmark 2010-2014

Interest over time
Month,langvarig
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,100
2011-05,74
2011-06,74
2011-07,74
2011-08,74
2011-09,74
2011-10,79
2011-11,82
2011-12,85
2012-01,62
2012-02,86
2012-03,85
2012-04,85
2012-05,70
2012-06,78
2012-07,68
2012-08,68
2012-09,69
2012-10,59
2012-11,69
2012-12,70
2013-01,77
2013-02,67
2013-03,75
2013-04,63
2013-05,77
2013-06,59
2013-07,61
2013-08,75
2013-09,68
2013-10,67
2013-11,68
2013-12,83
2014-01,77
2014-02,72
2014-03,79
2014-04,74
2014-05,82
2014-06,65
2014-07,74
2014-08,53
2014-09,72
2014-10,78
2014-11,80
2014-12,92


Top subregions for langvarig
Subregion,langvarig
Syddanmark,100
Central Denmark Region,97
Capital Region of Denmark,96
North Denmark Region,0
Region Zealand,0


Top cities for langvarig
City,langvarig
Copenhagen,100



Top searches for langvarig
langvarig hoste,100



Rising searches for langvarig
langvarig hoste,Breakout



