Web Search interest: mellem
Denmark 2010-2014

Interest over time
Week,mellem
2010-01-03 - 2010-01-09,54
2010-01-10 - 2010-01-16,62
2010-01-17 - 2010-01-23,67
2010-01-24 - 2010-01-30,58
2010-01-31 - 2010-02-06,61
2010-02-07 - 2010-02-13,68
2010-02-14 - 2010-02-20,58
2010-02-21 - 2010-02-27,58
2010-02-28 - 2010-03-06,64
2010-03-07 - 2010-03-13,70
2010-03-14 - 2010-03-20,61
2010-03-21 - 2010-03-27,65
2010-03-28 - 2010-04-03,46
2010-04-04 - 2010-04-10,69
2010-04-11 - 2010-04-17,66
2010-04-18 - 2010-04-24,72
2010-04-25 - 2010-05-01,65
2010-05-02 - 2010-05-08,74
2010-05-09 - 2010-05-15,63
2010-05-16 - 2010-05-22,68
2010-05-23 - 2010-05-29,67
2010-05-30 - 2010-06-05,78
2010-06-06 - 2010-06-12,70
2010-06-13 - 2010-06-19,68
2010-06-20 - 2010-06-26,52
2010-06-27 - 2010-07-03,47
2010-07-04 - 2010-07-10,45
2010-07-11 - 2010-07-17,51
2010-07-18 - 2010-07-24,48
2010-07-25 - 2010-07-31,44
2010-08-01 - 2010-08-07,37
2010-08-08 - 2010-08-14,47
2010-08-15 - 2010-08-21,48
2010-08-22 - 2010-08-28,63
2010-08-29 - 2010-09-04,58
2010-09-05 - 2010-09-11,55
2010-09-12 - 2010-09-18,61
2010-09-19 - 2010-09-25,59
2010-09-26 - 2010-10-02,62
2010-10-03 - 2010-10-09,58
2010-10-10 - 2010-10-16,56
2010-10-17 - 2010-10-23,46
2010-10-24 - 2010-10-30,71
2010-10-31 - 2010-11-06,71
2010-11-07 - 2010-11-13,69
2010-11-14 - 2010-11-20,59
2010-11-21 - 2010-11-27,72
2010-11-28 - 2010-12-04,74
2010-12-05 - 2010-12-11,63
2010-12-12 - 2010-12-18,74
2010-12-19 - 2010-12-25,58
2010-12-26 - 2011-01-01,49
2011-01-02 - 2011-01-08,59
2011-01-09 - 2011-01-15,63
2011-01-16 - 2011-01-22,61
2011-01-23 - 2011-01-29,68
2011-01-30 - 2011-02-05,66
2011-02-06 - 2011-02-12,62
2011-02-13 - 2011-02-19,60
2011-02-20 - 2011-02-26,60
2011-02-27 - 2011-03-05,64
2011-03-06 - 2011-03-12,66
2011-03-13 - 2011-03-19,60
2011-03-20 - 2011-03-26,67
2011-03-27 - 2011-04-02,63
2011-04-03 - 2011-04-09,72
2011-04-10 - 2011-04-16,73
2011-04-17 - 2011-04-23,57
2011-04-24 - 2011-04-30,70
2011-05-01 - 2011-05-07,70
2011-05-08 - 2011-05-14,72
2011-05-15 - 2011-05-21,67
2011-05-22 - 2011-05-28,65
2011-05-29 - 2011-06-04,63
2011-06-05 - 2011-06-11,69
2011-06-12 - 2011-06-18,68
2011-06-19 - 2011-06-25,56
2011-06-26 - 2011-07-02,43
2011-07-03 - 2011-07-09,47
2011-07-10 - 2011-07-16,48
2011-07-17 - 2011-07-23,46
2011-07-24 - 2011-07-30,44
2011-07-31 - 2011-08-06,47
2011-08-07 - 2011-08-13,44
2011-08-14 - 2011-08-20,59
2011-08-21 - 2011-08-27,57
2011-08-28 - 2011-09-03,65
2011-09-04 - 2011-09-10,61
2011-09-11 - 2011-09-17,61
2011-09-18 - 2011-09-24,70
2011-09-25 - 2011-10-01,62
2011-10-02 - 2011-10-08,73
2011-10-09 - 2011-10-15,65
2011-10-16 - 2011-10-22,50
2011-10-23 - 2011-10-29,60
2011-10-30 - 2011-11-05,76
2011-11-06 - 2011-11-12,68
2011-11-13 - 2011-11-19,67
2011-11-20 - 2011-11-26,63
2011-11-27 - 2011-12-03,60
2011-12-04 - 2011-12-10,70
2011-12-11 - 2011-12-17,66
2011-12-18 - 2011-12-24,51
2011-12-25 - 2011-12-31,59
2012-01-01 - 2012-01-07,55
2012-01-08 - 2012-01-14,69
2012-01-15 - 2012-01-21,68
2012-01-22 - 2012-01-28,66
2012-01-29 - 2012-02-04,68
2012-02-05 - 2012-02-11,67
2012-02-12 - 2012-02-18,52
2012-02-19 - 2012-02-25,64
2012-02-26 - 2012-03-03,65
2012-03-04 - 2012-03-10,69
2012-03-11 - 2012-03-17,68
2012-03-18 - 2012-03-24,72
2012-03-25 - 2012-03-31,67
2012-04-01 - 2012-04-07,54
2012-04-08 - 2012-04-14,60
2012-04-15 - 2012-04-21,70
2012-04-22 - 2012-04-28,69
2012-04-29 - 2012-05-05,70
2012-05-06 - 2012-05-12,76
2012-05-13 - 2012-05-19,65
2012-05-20 - 2012-05-26,72
2012-05-27 - 2012-06-02,69
2012-06-03 - 2012-06-09,76
2012-06-10 - 2012-06-16,80
2012-06-17 - 2012-06-23,71
2012-06-24 - 2012-06-30,59
2012-07-01 - 2012-07-07,45
2012-07-08 - 2012-07-14,45
2012-07-15 - 2012-07-21,50
2012-07-22 - 2012-07-28,47
2012-07-29 - 2012-08-04,50
2012-08-05 - 2012-08-11,51
2012-08-12 - 2012-08-18,57
2012-08-19 - 2012-08-25,64
2012-08-26 - 2012-09-01,67
2012-09-02 - 2012-09-08,70
2012-09-09 - 2012-09-15,70
2012-09-16 - 2012-09-22,76
2012-09-23 - 2012-09-29,75
2012-09-30 - 2012-10-06,74
2012-10-07 - 2012-10-13,74
2012-10-14 - 2012-10-20,57
2012-10-21 - 2012-10-27,72
2012-10-28 - 2012-11-03,75
2012-11-04 - 2012-11-10,80
2012-11-11 - 2012-11-17,79
2012-11-18 - 2012-11-24,80
2012-11-25 - 2012-12-01,76
2012-12-02 - 2012-12-08,78
2012-12-09 - 2012-12-15,78
