Web Search interest: mere
Denmark 2010-2014

Interest over time
Week,mere
2010-01-03 - 2010-01-09,45
2010-01-10 - 2010-01-16,44
2010-01-17 - 2010-01-23,40
2010-01-24 - 2010-01-30,37
2010-01-31 - 2010-02-06,39
2010-02-07 - 2010-02-13,45
2010-02-14 - 2010-02-20,41
2010-02-21 - 2010-02-27,37
2010-02-28 - 2010-03-06,43
2010-03-07 - 2010-03-13,39
2010-03-14 - 2010-03-20,41
2010-03-21 - 2010-03-27,36
2010-03-28 - 2010-04-03,36
2010-04-04 - 2010-04-10,41
2010-04-11 - 2010-04-17,42
2010-04-18 - 2010-04-24,43
2010-04-25 - 2010-05-01,43
2010-05-02 - 2010-05-08,44
2010-05-09 - 2010-05-15,47
2010-05-16 - 2010-05-22,48
2010-05-23 - 2010-05-29,43
2010-05-30 - 2010-06-05,46
2010-06-06 - 2010-06-12,36
2010-06-13 - 2010-06-19,46
2010-06-20 - 2010-06-26,41
2010-06-27 - 2010-07-03,40
2010-07-04 - 2010-07-10,38
2010-07-11 - 2010-07-17,36
2010-07-18 - 2010-07-24,34
2010-07-25 - 2010-07-31,33
2010-08-01 - 2010-08-07,38
2010-08-08 - 2010-08-14,39
2010-08-15 - 2010-08-21,38
2010-08-22 - 2010-08-28,50
2010-08-29 - 2010-09-04,38
2010-09-05 - 2010-09-11,41
2010-09-12 - 2010-09-18,42
2010-09-19 - 2010-09-25,42
2010-09-26 - 2010-10-02,40
2010-10-03 - 2010-10-09,44
2010-10-10 - 2010-10-16,43
2010-10-17 - 2010-10-23,45
2010-10-24 - 2010-10-30,55
2010-10-31 - 2010-11-06,45
2010-11-07 - 2010-11-13,53
2010-11-14 - 2010-11-20,48
2010-11-21 - 2010-11-27,49
2010-11-28 - 2010-12-04,50
2010-12-05 - 2010-12-11,47
2010-12-12 - 2010-12-18,51
2010-12-19 - 2010-12-25,48
2010-12-26 - 2011-01-01,46
2011-01-02 - 2011-01-08,50
2011-01-09 - 2011-01-15,48
2011-01-16 - 2011-01-22,56
2011-01-23 - 2011-01-29,55
2011-01-30 - 2011-02-05,46
2011-02-06 - 2011-02-12,46
2011-02-13 - 2011-02-19,49
2011-02-20 - 2011-02-26,45
2011-02-27 - 2011-03-05,48
2011-03-06 - 2011-03-12,46
2011-03-13 - 2011-03-19,47
2011-03-20 - 2011-03-26,48
2011-03-27 - 2011-04-02,53
2011-04-03 - 2011-04-09,50
2011-04-10 - 2011-04-16,45
2011-04-17 - 2011-04-23,44
2011-04-24 - 2011-04-30,45
2011-05-01 - 2011-05-07,50
2011-05-08 - 2011-05-14,50
2011-05-15 - 2011-05-21,44
2011-05-22 - 2011-05-28,46
2011-05-29 - 2011-06-04,43
2011-06-05 - 2011-06-11,45
2011-06-12 - 2011-06-18,43
2011-06-19 - 2011-06-25,43
2011-06-26 - 2011-07-02,41
2011-07-03 - 2011-07-09,47
2011-07-10 - 2011-07-16,36
2011-07-17 - 2011-07-23,42
2011-07-24 - 2011-07-30,35
2011-07-31 - 2011-08-06,37
2011-08-07 - 2011-08-13,44
2011-08-14 - 2011-08-20,41
2011-08-21 - 2011-08-27,49
2011-08-28 - 2011-09-03,54
2011-09-04 - 2011-09-10,60
2011-09-11 - 2011-09-17,61
2011-09-18 - 2011-09-24,55
2011-09-25 - 2011-10-01,56
2011-10-02 - 2011-10-08,56
2011-10-09 - 2011-10-15,58
2011-10-16 - 2011-10-22,50
2011-10-23 - 2011-10-29,58
2011-10-30 - 2011-11-05,51
2011-11-06 - 2011-11-12,58
2011-11-13 - 2011-11-19,53
2011-11-20 - 2011-11-26,52
2011-11-27 - 2011-12-03,48
2011-12-04 - 2011-12-10,52
2011-12-11 - 2011-12-17,51
2011-12-18 - 2011-12-24,57
2011-12-25 - 2011-12-31,53
2012-01-01 - 2012-01-07,53
2012-01-08 - 2012-01-14,50
2012-01-15 - 2012-01-21,53
2012-01-22 - 2012-01-28,48
2012-01-29 - 2012-02-04,48
2012-02-05 - 2012-02-11,50
2012-02-12 - 2012-02-18,46
2012-02-19 - 2012-02-25,47
2012-02-26 - 2012-03-03,50
2012-03-04 - 2012-03-10,52
2012-03-11 - 2012-03-17,54
2012-03-18 - 2012-03-24,52
2012-03-25 - 2012-03-31,52
2012-04-01 - 2012-04-07,42
2012-04-08 - 2012-04-14,47
2012-04-15 - 2012-04-21,47
2012-04-22 - 2012-04-28,49
2012-04-29 - 2012-05-05,46
2012-05-06 - 2012-05-12,47
2012-05-13 - 2012-05-19,50
2012-05-20 - 2012-05-26,47
2012-05-27 - 2012-06-02,50
2012-06-03 - 2012-06-09,51
2012-06-10 - 2012-06-16,52
2012-06-17 - 2012-06-23,50
2012-06-24 - 2012-06-30,49
