Web Search interest: mindre
Denmark 2010-2014

Interest over time
Week,mindre
2010-01-03 - 2010-01-09,54
2010-01-10 - 2010-01-16,65
2010-01-17 - 2010-01-23,69
2010-01-24 - 2010-01-30,57
2010-01-31 - 2010-02-06,54
2010-02-07 - 2010-02-13,54
2010-02-14 - 2010-02-20,60
2010-02-21 - 2010-02-27,50
2010-02-28 - 2010-03-06,54
2010-03-07 - 2010-03-13,54
2010-03-14 - 2010-03-20,47
2010-03-21 - 2010-03-27,49
2010-03-28 - 2010-04-03,56
2010-04-04 - 2010-04-10,49
2010-04-11 - 2010-04-17,50
2010-04-18 - 2010-04-24,45
2010-04-25 - 2010-05-01,63
2010-05-02 - 2010-05-08,66
2010-05-09 - 2010-05-15,51
2010-05-16 - 2010-05-22,53
2010-05-23 - 2010-05-29,46
2010-05-30 - 2010-06-05,57
2010-06-06 - 2010-06-12,54
2010-06-13 - 2010-06-19,58
2010-06-20 - 2010-06-26,50
2010-06-27 - 2010-07-03,59
2010-07-04 - 2010-07-10,63
2010-07-11 - 2010-07-17,66
2010-07-18 - 2010-07-24,70
2010-07-25 - 2010-07-31,53
2010-08-01 - 2010-08-07,48
2010-08-08 - 2010-08-14,48
2010-08-15 - 2010-08-21,57
2010-08-22 - 2010-08-28,53
2010-08-29 - 2010-09-04,76
2010-09-05 - 2010-09-11,51
2010-09-12 - 2010-09-18,49
2010-09-19 - 2010-09-25,45
2010-09-26 - 2010-10-02,58
2010-10-03 - 2010-10-09,50
2010-10-10 - 2010-10-16,52
2010-10-17 - 2010-10-23,57
2010-10-24 - 2010-10-30,70
2010-10-31 - 2010-11-06,55
2010-11-07 - 2010-11-13,60
2010-11-14 - 2010-11-20,52
2010-11-21 - 2010-11-27,44
2010-11-28 - 2010-12-04,54
2010-12-05 - 2010-12-11,50
2010-12-12 - 2010-12-18,58
2010-12-19 - 2010-12-25,48
2010-12-26 - 2011-01-01,58
2011-01-02 - 2011-01-08,55
2011-01-09 - 2011-01-15,55
2011-01-16 - 2011-01-22,57
2011-01-23 - 2011-01-29,48
2011-01-30 - 2011-02-05,59
2011-02-06 - 2011-02-12,52
2011-02-13 - 2011-02-19,58
2011-02-20 - 2011-02-26,51
2011-02-27 - 2011-03-05,50
2011-03-06 - 2011-03-12,57
2011-03-13 - 2011-03-19,52
2011-03-20 - 2011-03-26,53
2011-03-27 - 2011-04-02,60
2011-04-03 - 2011-04-09,62
2011-04-10 - 2011-04-16,59
2011-04-17 - 2011-04-23,47
2011-04-24 - 2011-04-30,49
2011-05-01 - 2011-05-07,56
2011-05-08 - 2011-05-14,64
2011-05-15 - 2011-05-21,61
2011-05-22 - 2011-05-28,52
2011-05-29 - 2011-06-04,56
2011-06-05 - 2011-06-11,59
2011-06-12 - 2011-06-18,58
2011-06-19 - 2011-06-25,43
2011-06-26 - 2011-07-02,43
2011-07-03 - 2011-07-09,55
2011-07-10 - 2011-07-16,49
2011-07-17 - 2011-07-23,49
2011-07-24 - 2011-07-30,38
2011-07-31 - 2011-08-06,42
2011-08-07 - 2011-08-13,50
2011-08-14 - 2011-08-20,44
2011-08-21 - 2011-08-27,46
2011-08-28 - 2011-09-03,55
2011-09-04 - 2011-09-10,55
2011-09-11 - 2011-09-17,62
2011-09-18 - 2011-09-24,58
2011-09-25 - 2011-10-01,61
2011-10-02 - 2011-10-08,58
2011-10-09 - 2011-10-15,49
2011-10-16 - 2011-10-22,63
2011-10-23 - 2011-10-29,56
2011-10-30 - 2011-11-05,65
2011-11-06 - 2011-11-12,54
2011-11-13 - 2011-11-19,52
2011-11-20 - 2011-11-26,70
2011-11-27 - 2011-12-03,51
2011-12-04 - 2011-12-10,54
2011-12-11 - 2011-12-17,62
2011-12-18 - 2011-12-24,51
2011-12-25 - 2011-12-31,40
2012-01-01 - 2012-01-07,46
2012-01-08 - 2012-01-14,57
2012-01-15 - 2012-01-21,66
2012-01-22 - 2012-01-28,59
2012-01-29 - 2012-02-04,57
2012-02-05 - 2012-02-11,64
2012-02-12 - 2012-02-18,59
2012-02-19 - 2012-02-25,59
2012-02-26 - 2012-03-03,72
2012-03-04 - 2012-03-10,60
2012-03-11 - 2012-03-17,66
2012-03-18 - 2012-03-24,47
2012-03-25 - 2012-03-31,53
2012-04-01 - 2012-04-07,60
2012-04-08 - 2012-04-14,59
2012-04-15 - 2012-04-21,54
2012-04-22 - 2012-04-28,63
2012-04-29 - 2012-05-05,51
2012-05-06 - 2012-05-12,59
2012-05-13 - 2012-05-19,56
2012-05-20 - 2012-05-26,51
2012-05-27 - 2012-06-02,63
2012-06-03 - 2012-06-09,65
2012-06-10 - 2012-06-16,57
2012-06-17 - 2012-06-23,54
2012-06-24 - 2012-06-30,61
2012-07-01 - 2012-07-07,49
2012-07-08 - 2012-07-14,50
2012-07-15 - 2012-07-21,56
2012-07-22 - 2012-07-28,48
2012-07-29 - 2012-08-04,45
2012-08-05 - 2012-08-11,58
2012-08-12 - 2012-08-18,54
2012-08-19 - 2012-08-25,56
2012-08-26 - 2012-09-01,58
2012-09-02 - 2012-09-08,59
2012-09-09 - 2012-09-15,64
2012-09-16 - 2012-09-22,68
2012-09-23 - 2012-09-29,61
2012-09-30 - 2012-10-06,63
2012-10-07 - 2012-10-13,64
2012-10-14 - 2012-10-20,44
2012-10-21 - 2012-10-27,61
2012-10-28 - 2012-11-03,58
2012-11-04 - 2012-11-10,55
2012-11-11 - 2012-11-17,53
2012-11-18 - 2012-11-24,65
2012-11-25 - 2012-12-01,56
2012-12-02 - 2012-12-08,54
2012-12-09 - 2012-12-15,60
2012-12-16 - 2012-12-22,54
2012-12-23 - 2012-12-29,45
2012-12-30 - 2013-01-05,50
2013-01-06 - 2013-01-12,75
2013-01-13 - 2013-01-19,60
2013-01-20 - 2013-01-26,65
2013-01-27 - 2013-02-02,60
2013-02-03 - 2013-02-09,61
2013-02-10 - 2013-02-16,52
2013-02-17 - 2013-02-23,63
2013-02-24 - 2013-03-02,62
2013-03-03 - 2013-03-09,69
2013-03-10 - 2013-03-16,61
2013-03-17 - 2013-03-23,67
2013-03-24 - 2013-03-30,47
2013-03-31 - 2013-04-06,59
2013-04-07 - 2013-04-13,67
2013-04-14 - 2013-04-20,61
2013-04-21 - 2013-04-27,56
2013-04-28 - 2013-05-04,55
2013-05-05 - 2013-05-11,57
2013-05-12 - 2013-05-18,71
2013-05-19 - 2013-05-25,59
2013-05-26 - 2013-06-01,74
2013-06-02 - 2013-06-08,67
2013-06-09 - 2013-06-15,63
2013-06-16 - 2013-06-22,61
2013-06-23 - 2013-06-29,88
2013-06-30 - 2013-07-06,96
2013-07-07 - 2013-07-13,73
2013-07-14 - 2013-07-20,65
