Web Search interest: tilbuddet
Denmark 2010-2014

Interest over time
Month,tilbuddet
2010-01,90
2010-02,77
2010-03,77
2010-04,86
2010-05,92
2010-06,72
2010-07,72
2010-08,72
2010-09,72
2010-10,83
2010-11,96
2010-12,79
2011-01,73
2011-02,89
2011-03,67
2011-04,77
2011-05,75
2011-06,88
2011-07,59
2011-08,84
2011-09,76
2011-10,65
2011-11,90
2011-12,54
2012-01,88
2012-02,76
2012-03,81
2012-04,66
2012-05,51
2012-06,93
2012-07,57
2012-08,77
2012-09,88
2012-10,76
2012-11,100
2012-12,49
2013-01,52
2013-02,75
2013-03,72
2013-04,65
2013-05,49
2013-06,57
2013-07,52
2013-08,65
2013-09,66
2013-10,69
2013-11,75
2013-12,53
2014-01,69
2014-02,60
2014-03,64
2014-04,52
2014-05,64
2014-06,55
2014-07,60
2014-08,67
2014-09,66
2014-10,70
2014-11,69
2014-12,63


Top subregions for tilbuddet
Subregion,tilbuddet
Capital Region of Denmark,100
Central Denmark Region,92
Syddanmark,86
North Denmark Region,0
Region Zealand,0


Top cities for tilbuddet
City,tilbuddet
Aarhus,100
Copenhagen,81



Top searches for tilbuddet
tilbudet,100
tilbudet tilbuddet,100
tilbuddet eller tilbuddet,60
tilbudet eller tilbuddet,50



Rising searches for tilbuddet
tilbudet eller tilbuddet,Breakout
tilbuddet eller tilbuddet,+90%



