Web Search interest: tilbydes
Denmark 2010-2014

Interest over time
Month,tilbydes
2010-01,81
2010-02,74
2010-03,61
2010-04,66
2010-05,77
2010-06,70
2010-07,84
2010-08,100
2010-09,50
2010-10,59
2010-11,53
2010-12,46
2011-01,46
2011-02,48
2011-03,47
2011-04,53
2011-05,62
2011-06,46
2011-07,42
2011-08,54
2011-09,46
2011-10,40
2011-11,33
2011-12,35
2012-01,48
2012-02,43
2012-03,35
2012-04,30
2012-05,32
2012-06,46
2012-07,34
2012-08,42
2012-09,59
2012-10,41
2012-11,40
2012-12,37
2013-01,34
2013-02,31
2013-03,29
2013-04,32
2013-05,30
2013-06,40
2013-07,38
2013-08,32
2013-09,28
2013-10,33
2013-11,27
2013-12,21
2014-01,34
2014-02,35
2014-03,30
2014-04,31
2014-05,31
2014-06,35
2014-07,38
2014-08,42
2014-09,35
2014-10,26
2014-11,23
2014-12,27


Top subregions for tilbydes
Subregion,tilbydes
Region Zealand,100
Syddanmark,73
Capital Region of Denmark,71
Central Denmark Region,63
North Denmark Region,0


Top cities for tilbydes
City,tilbydes
Copenhagen,100



Top searches for tilbydes
job tilbydes,100






