Web Search interest: to
Denmark 2010-2014

Interest over time
Week,to
2010-01-03 - 2010-01-09,67
2010-01-10 - 2010-01-16,70
2010-01-17 - 2010-01-23,70
2010-01-24 - 2010-01-30,69
2010-01-31 - 2010-02-06,68
2010-02-07 - 2010-02-13,72
2010-02-14 - 2010-02-20,70
2010-02-21 - 2010-02-27,71
2010-02-28 - 2010-03-06,69
2010-03-07 - 2010-03-13,71
2010-03-14 - 2010-03-20,73
2010-03-21 - 2010-03-27,73
2010-03-28 - 2010-04-03,77
2010-04-04 - 2010-04-10,73
2010-04-11 - 2010-04-17,73
2010-04-18 - 2010-04-24,73
2010-04-25 - 2010-05-01,75
2010-05-02 - 2010-05-08,71
2010-05-09 - 2010-05-15,76
2010-05-16 - 2010-05-22,73
2010-05-23 - 2010-05-29,75
2010-05-30 - 2010-06-05,74
2010-06-06 - 2010-06-12,75
2010-06-13 - 2010-06-19,73
2010-06-20 - 2010-06-26,74
2010-06-27 - 2010-07-03,74
2010-07-04 - 2010-07-10,75
2010-07-11 - 2010-07-17,77
2010-07-18 - 2010-07-24,81
2010-07-25 - 2010-07-31,77
2010-08-01 - 2010-08-07,79
2010-08-08 - 2010-08-14,75
2010-08-15 - 2010-08-21,72
2010-08-22 - 2010-08-28,74
2010-08-29 - 2010-09-04,74
2010-09-05 - 2010-09-11,74
2010-09-12 - 2010-09-18,74
2010-09-19 - 2010-09-25,77
2010-09-26 - 2010-10-02,75
2010-10-03 - 2010-10-09,76
2010-10-10 - 2010-10-16,77
2010-10-17 - 2010-10-23,79
2010-10-24 - 2010-10-30,77
2010-10-31 - 2010-11-06,75
2010-11-07 - 2010-11-13,77
2010-11-14 - 2010-11-20,78
2010-11-21 - 2010-11-27,77
2010-11-28 - 2010-12-04,76
2010-12-05 - 2010-12-11,75
2010-12-12 - 2010-12-18,75
2010-12-19 - 2010-12-25,79
2010-12-26 - 2011-01-01,77
2011-01-02 - 2011-01-08,70
2011-01-09 - 2011-01-15,73
2011-01-16 - 2011-01-22,72
2011-01-23 - 2011-01-29,72
2011-01-30 - 2011-02-05,70
2011-02-06 - 2011-02-12,72
2011-02-13 - 2011-02-19,75
2011-02-20 - 2011-02-26,74
2011-02-27 - 2011-03-05,73
2011-03-06 - 2011-03-12,71
2011-03-13 - 2011-03-19,72
2011-03-20 - 2011-03-26,73
2011-03-27 - 2011-04-02,72
2011-04-03 - 2011-04-09,74
2011-04-10 - 2011-04-16,71
2011-04-17 - 2011-04-23,80
2011-04-24 - 2011-04-30,74
2011-05-01 - 2011-05-07,73
2011-05-08 - 2011-05-14,75
2011-05-15 - 2011-05-21,77
2011-05-22 - 2011-05-28,73
2011-05-29 - 2011-06-04,77
2011-06-05 - 2011-06-11,76
2011-06-12 - 2011-06-18,76
2011-06-19 - 2011-06-25,76
2011-06-26 - 2011-07-02,75
2011-07-03 - 2011-07-09,77
2011-07-10 - 2011-07-16,80
2011-07-17 - 2011-07-23,81
2011-07-24 - 2011-07-30,84
2011-07-31 - 2011-08-06,80
2011-08-07 - 2011-08-13,79
2011-08-14 - 2011-08-20,75
2011-08-21 - 2011-08-27,76
2011-08-28 - 2011-09-03,76
2011-09-04 - 2011-09-10,77
2011-09-11 - 2011-09-17,76
2011-09-18 - 2011-09-24,79
2011-09-25 - 2011-10-01,78
2011-10-02 - 2011-10-08,77
2011-10-09 - 2011-10-15,80
2011-10-16 - 2011-10-22,82
2011-10-23 - 2011-10-29,78
2011-10-30 - 2011-11-05,77
2011-11-06 - 2011-11-12,77
2011-11-13 - 2011-11-19,80
2011-11-20 - 2011-11-26,79
2011-11-27 - 2011-12-03,78
2011-12-04 - 2011-12-10,77
2011-12-11 - 2011-12-17,78
2011-12-18 - 2011-12-24,78
2011-12-25 - 2011-12-31,84
2012-01-01 - 2012-01-07,79
2012-01-08 - 2012-01-14,79
2012-01-15 - 2012-01-21,78
2012-01-22 - 2012-01-28,77
2012-01-29 - 2012-02-04,79
2012-02-05 - 2012-02-11,84
2012-02-12 - 2012-02-18,84
2012-02-19 - 2012-02-25,82
2012-02-26 - 2012-03-03,81
2012-03-04 - 2012-03-10,77
2012-03-11 - 2012-03-17,81
2012-03-18 - 2012-03-24,79
2012-03-25 - 2012-03-31,79
2012-04-01 - 2012-04-07,81
2012-04-08 - 2012-04-14,79
2012-04-15 - 2012-04-21,76
2012-04-22 - 2012-04-28,78
2012-04-29 - 2012-05-05,78
2012-05-06 - 2012-05-12,78
2012-05-13 - 2012-05-19,80
2012-05-20 - 2012-05-26,79
2012-05-27 - 2012-06-02,78
2012-06-03 - 2012-06-09,80
2012-06-10 - 2012-06-16,79
2012-06-17 - 2012-06-23,78
2012-06-24 - 2012-06-30,78
2012-07-01 - 2012-07-07,80
2012-07-08 - 2012-07-14,82
2012-07-15 - 2012-07-21,83
2012-07-22 - 2012-07-28,85
2012-07-29 - 2012-08-04,83
2012-08-05 - 2012-08-11,81
2012-08-12 - 2012-08-18,80
2012-08-19 - 2012-08-25,80
2012-08-26 - 2012-09-01,81
2012-09-02 - 2012-09-08,82
