Web Search interest: vacciner
Denmark 2010-2014

Interest over time
Month,vacciner
2010-01,87
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,82
2011-02,73
2011-03,73
2011-04,63
2011-05,63
2011-06,69
2011-07,52
2011-08,52
2011-09,52
2011-10,60
2011-11,73
2011-12,58
2012-01,85
2012-02,66
2012-03,55
2012-04,64
2012-05,72
2012-06,69
2012-07,65
2012-08,72
2012-09,63
2012-10,70
2012-11,75
2012-12,71
2013-01,100
2013-02,72
2013-03,60
2013-04,66
2013-05,55
2013-06,93
2013-07,65
2013-08,64
2013-09,62
2013-10,82
2013-11,73
2013-12,63
2014-01,97
2014-02,99
2014-03,83
2014-04,63
2014-05,74
2014-06,100
2014-07,67
2014-08,69
2014-09,98
2014-10,93
2014-11,84
2014-12,85


Top subregions for vacciner
Subregion,vacciner
Capital Region of Denmark,100
Central Denmark Region,81
Syddanmark,78
North Denmark Region,0
Region Zealand,0


Top cities for vacciner
City,vacciner
Copenhagen,100



Top searches for vacciner
vacciner thailand,100



Rising searches for vacciner
vacciner thailand,Breakout



