Web Search interest: ved
Denmark 2010-2014

Interest over time
Week,ved
2010-01-03 - 2010-01-09,54
2010-01-10 - 2010-01-16,55
2010-01-17 - 2010-01-23,60
2010-01-24 - 2010-01-30,53
2010-01-31 - 2010-02-06,54
2010-02-07 - 2010-02-13,55
2010-02-14 - 2010-02-20,53
2010-02-21 - 2010-02-27,58
2010-02-28 - 2010-03-06,61
2010-03-07 - 2010-03-13,58
2010-03-14 - 2010-03-20,62
2010-03-21 - 2010-03-27,59
2010-03-28 - 2010-04-03,51
2010-04-04 - 2010-04-10,60
2010-04-11 - 2010-04-17,68
2010-04-18 - 2010-04-24,67
2010-04-25 - 2010-05-01,67
2010-05-02 - 2010-05-08,65
2010-05-09 - 2010-05-15,65
2010-05-16 - 2010-05-22,68
2010-05-23 - 2010-05-29,65
2010-05-30 - 2010-06-05,66
2010-06-06 - 2010-06-12,68
2010-06-13 - 2010-06-19,69
2010-06-20 - 2010-06-26,70
2010-06-27 - 2010-07-03,64
2010-07-04 - 2010-07-10,67
2010-07-11 - 2010-07-17,66
2010-07-18 - 2010-07-24,61
2010-07-25 - 2010-07-31,64
2010-08-01 - 2010-08-07,59
2010-08-08 - 2010-08-14,58
2010-08-15 - 2010-08-21,61
2010-08-22 - 2010-08-28,63
2010-08-29 - 2010-09-04,58
2010-09-05 - 2010-09-11,60
2010-09-12 - 2010-09-18,60
2010-09-19 - 2010-09-25,65
2010-09-26 - 2010-10-02,61
2010-10-03 - 2010-10-09,64
2010-10-10 - 2010-10-16,57
2010-10-17 - 2010-10-23,54
2010-10-24 - 2010-10-30,65
2010-10-31 - 2010-11-06,60
2010-11-07 - 2010-11-13,61
2010-11-14 - 2010-11-20,60
2010-11-21 - 2010-11-27,60
2010-11-28 - 2010-12-04,57
2010-12-05 - 2010-12-11,58
2010-12-12 - 2010-12-18,55
2010-12-19 - 2010-12-25,43
2010-12-26 - 2011-01-01,46
2011-01-02 - 2011-01-08,58
2011-01-09 - 2011-01-15,62
2011-01-16 - 2011-01-22,64
2011-01-23 - 2011-01-29,62
2011-01-30 - 2011-02-05,60
2011-02-06 - 2011-02-12,63
2011-02-13 - 2011-02-19,56
2011-02-20 - 2011-02-26,60
2011-02-27 - 2011-03-05,60
2011-03-06 - 2011-03-12,63
2011-03-13 - 2011-03-19,64
2011-03-20 - 2011-03-26,64
2011-03-27 - 2011-04-02,65
2011-04-03 - 2011-04-09,66
2011-04-10 - 2011-04-16,68
2011-04-17 - 2011-04-23,61
2011-04-24 - 2011-04-30,67
2011-05-01 - 2011-05-07,67
2011-05-08 - 2011-05-14,67
2011-05-15 - 2011-05-21,67
2011-05-22 - 2011-05-28,70
2011-05-29 - 2011-06-04,64
2011-06-05 - 2011-06-11,68
2011-06-12 - 2011-06-18,71
2011-06-19 - 2011-06-25,69
2011-06-26 - 2011-07-02,66
2011-07-03 - 2011-07-09,66
2011-07-10 - 2011-07-16,62
2011-07-17 - 2011-07-23,62
2011-07-24 - 2011-07-30,63
2011-07-31 - 2011-08-06,62
2011-08-07 - 2011-08-13,60
2011-08-14 - 2011-08-20,60
2011-08-21 - 2011-08-27,62
2011-08-28 - 2011-09-03,61
2011-09-04 - 2011-09-10,63
2011-09-11 - 2011-09-17,64
2011-09-18 - 2011-09-24,64
2011-09-25 - 2011-10-01,71
2011-10-02 - 2011-10-08,65
2011-10-09 - 2011-10-15,71
2011-10-16 - 2011-10-22,58
2011-10-23 - 2011-10-29,64
2011-10-30 - 2011-11-05,63
2011-11-06 - 2011-11-12,63
2011-11-13 - 2011-11-19,65
2011-11-20 - 2011-11-26,62
2011-11-27 - 2011-12-03,60
2011-12-04 - 2011-12-10,60
2011-12-11 - 2011-12-17,61
2011-12-18 - 2011-12-24,51
2011-12-25 - 2011-12-31,50
2012-01-01 - 2012-01-07,62
2012-01-08 - 2012-01-14,65
2012-01-15 - 2012-01-21,65
2012-01-22 - 2012-01-28,65
2012-01-29 - 2012-02-04,65
2012-02-05 - 2012-02-11,66
2012-02-12 - 2012-02-18,62
2012-02-19 - 2012-02-25,64
2012-02-26 - 2012-03-03,70
2012-03-04 - 2012-03-10,71
2012-03-11 - 2012-03-17,74
2012-03-18 - 2012-03-24,68
2012-03-25 - 2012-03-31,68
2012-04-01 - 2012-04-07,60
2012-04-08 - 2012-04-14,69
2012-04-15 - 2012-04-21,68
2012-04-22 - 2012-04-28,70
2012-04-29 - 2012-05-05,67
2012-05-06 - 2012-05-12,73
2012-05-13 - 2012-05-19,68
2012-05-20 - 2012-05-26,70
