Web Search interest: mfr
Denmark Jan 2011 - Jan 2016

Interest over time
Month,mfr
2011-01,16
2011-02,30
2011-03,18
2011-04,29
2011-05,24
2011-06,25
2011-07,16
2011-08,13
2011-09,15
2011-10,16
2011-11,17
2011-12,16
2012-01,14
2012-02,14
2012-03,20
2012-04,18
2012-05,19
2012-06,19
2012-07,18
2012-08,15
2012-09,19
2012-10,17
2012-11,16
2012-12,13
2013-01,18
2013-02,13
2013-03,16
2013-04,19
2013-05,19
2013-06,18
2013-07,13
2013-08,19
2013-09,17
2013-10,17
2013-11,15
2013-12,13
2014-01,18
2014-02,26
2014-03,20
2014-04,24
2014-05,20
2014-06,20
2014-07,16
2014-08,14
2014-09,14
2014-10,15
2014-11,15
2014-12,13
2015-01,15
2015-02,100
2015-03,63
2015-04,30
2015-05,24
2015-06,27
2015-07,22
2015-08,18
2015-09,18
2015-10,16
2015-11,22
2015-12,14
2016-01,18


Top subregions for mfr
Subregion,mfr
Capital Region of Denmark,100
Central Denmark Region,84
Syddanmark,82
North Denmark Region,0
Region Zealand,0


Top cities for mfr
City,mfr
Odense,100
Copenhagen,95



Top searches for mfr
mfr vaccine,100
mfr bivirkninger,30
bivirkninger mfr vaccine,20
mfr vaccination,20






