Web Search interest: fåresyge
Denmark Jan 2011 - Jan 2016

Interest over time
Month,fåresyge
2011-01,0
2011-02,0
2011-03,52
2011-04,56
2011-05,60
2011-06,58
2011-07,58
2011-08,58
2011-09,58
2011-10,58
2011-11,55
2011-12,70
2012-01,47
2012-02,67
2012-03,62
2012-04,62
2012-05,48
2012-06,46
2012-07,46
2012-08,46
2012-09,46
2012-10,46
2012-11,46
2012-12,47
2013-01,48
2013-02,55
2013-03,63
2013-04,61
2013-05,58
2013-06,60
2013-07,39
2013-08,39
2013-09,35
2013-10,52
2013-11,48
2013-12,49
2014-01,36
2014-02,48
2014-03,46
2014-04,42
2014-05,46
2014-06,47
2014-07,48
2014-08,39
2014-09,35
2014-10,41
2014-11,49
2014-12,61
2015-01,43
2015-02,81
2015-03,74
2015-04,40
2015-05,38
2015-06,40
2015-07,42
2015-08,100
2015-09,34
2015-10,39
2015-11,38
2015-12,37
2016-01,56


Top subregions for fåresyge
Subregion,fåresyge
Capital Region of Denmark,100
Syddanmark,89
Central Denmark Region,81
North Denmark Region,0
Region Zealand,0


Top cities for fåresyge
City,fåresyge
Copenhagen,100









