Web Search interest: blodforgiftning
Denmark 2010-2014

Interest over time
Month,blodforgiftning
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,63
2010-06,81
2010-07,100
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,42
2011-02,43
2011-03,45
2011-04,45
2011-05,52
2011-06,66
2011-07,57
2011-08,53
2011-09,58
2011-10,43
2011-11,60
2011-12,58
2012-01,40
2012-02,40
2012-03,44
2012-04,45
2012-05,54
2012-06,55
2012-07,54
2012-08,48
2012-09,46
2012-10,44
2012-11,44
2012-12,46
2013-01,41
2013-02,45
2013-03,41
2013-04,52
2013-05,65
2013-06,52
2013-07,72
2013-08,59
2013-09,64
2013-10,42
2013-11,50
2013-12,42
2014-01,44
2014-02,45
2014-03,52
2014-04,56
2014-05,53
2014-06,53
2014-07,87
2014-08,73
2014-09,50
2014-10,51
2014-11,51
2014-12,44


Top subregions for blodforgiftning
Subregion,blodforgiftning
Syddanmark,100
Capital Region of Denmark,98
Central Denmark Region,96
North Denmark Region,0
Region Zealand,0


Top cities for blodforgiftning
City,blodforgiftning
Copenhagen,100



Top searches for blodforgiftning
blodforgiftning symptomer,100






