Web Search interest: infektioner
Denmark 2010-2014

Interest over time
Month,infektioner
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,81
2011-02,82
2011-03,83
2011-04,85
2011-05,86
2011-06,88
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,73
2012-01,96
2012-02,98
2012-03,100
2012-04,73
2012-05,74
2012-06,75
2012-07,75
2012-08,76
2012-09,63
2012-10,63
2012-11,63
2012-12,74
2013-01,63
2013-02,69
2013-03,54
2013-04,54
2013-05,70
2013-06,72
2013-07,61
2013-08,61
2013-09,61
2013-10,68
2013-11,79
2013-12,64
2014-01,77
2014-02,58
2014-03,63
2014-04,61
2014-05,65
2014-06,66
2014-07,67
2014-08,68
2014-09,69
2014-10,79
2014-11,74
2014-12,74


Top subregions for infektioner
Subregion,infektioner
Capital Region of Denmark,100
North Denmark Region,0
Central Denmark Region,0
Syddanmark,0
Region Zealand,0


Top cities for infektioner
City,infektioner
Copenhagen,100









