Web Search interest: infektioner
Denmark 2010-2015

Interest over time
Month,infektioner
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,88
2011-02,93
2011-03,99
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,88
2012-02,83
2012-03,83
2012-04,83
2012-05,83
2012-06,83
2012-07,72
2012-08,72
2012-09,72
2012-10,72
2012-11,83
2012-12,94
2013-01,75
2013-02,71
2013-03,63
2013-04,88
2013-05,82
2013-06,77
2013-07,60
2013-08,60
2013-09,72
2013-10,64
2013-11,76
2013-12,69
2014-01,73
2014-02,69
2014-03,69
2014-04,65
2014-05,67
2014-06,69
2014-07,70
2014-08,71
2014-09,72
2014-10,85
2014-11,57
2014-12,59
2015-01,77
2015-02,83
2015-03,89
2015-04,94
2015-05,100
2015-06,56
2015-07,63
2015-08,66
2015-09,69
2015-10,73
2015-11,51
2015-12,67


Top subregions for infektioner
Subregion,infektioner
Central Denmark Region,100
Capital Region of Denmark,84
North Denmark Region,0
Syddanmark,0
Region Zealand,0


Top cities for infektioner
City,infektioner
Copenhagen,100









