Web Search interest: vaccination
Denmark 2010-2014

Interest over time
Week,vaccination
2010-01-03 - 2010-01-09,92
2010-01-10 - 2010-01-16,96
2010-01-17 - 2010-01-23,100
2010-01-24 - 2010-01-30,71
2010-01-31 - 2010-02-06,61
2010-02-07 - 2010-02-13,66
2010-02-14 - 2010-02-20,63
2010-02-21 - 2010-02-27,60
2010-02-28 - 2010-03-06,70
2010-03-07 - 2010-03-13,62
2010-03-14 - 2010-03-20,53
2010-03-21 - 2010-03-27,63
2010-03-28 - 2010-04-03,56
2010-04-04 - 2010-04-10,67
2010-04-11 - 2010-04-17,57
2010-04-18 - 2010-04-24,55
2010-04-25 - 2010-05-01,50
2010-05-02 - 2010-05-08,48
2010-05-09 - 2010-05-15,47
2010-05-16 - 2010-05-22,78
2010-05-23 - 2010-05-29,72
2010-05-30 - 2010-06-05,72
2010-06-06 - 2010-06-12,74
2010-06-13 - 2010-06-19,61
2010-06-20 - 2010-06-26,71
2010-06-27 - 2010-07-03,68
2010-07-04 - 2010-07-10,66
2010-07-11 - 2010-07-17,69
2010-07-18 - 2010-07-24,73
2010-07-25 - 2010-07-31,91
2010-08-01 - 2010-08-07,84
2010-08-08 - 2010-08-14,66
2010-08-15 - 2010-08-21,71
2010-08-22 - 2010-08-28,50
2010-08-29 - 2010-09-04,67
2010-09-05 - 2010-09-11,62
2010-09-12 - 2010-09-18,73
2010-09-19 - 2010-09-25,64
2010-09-26 - 2010-10-02,65
2010-10-03 - 2010-10-09,82
2010-10-10 - 2010-10-16,77
2010-10-17 - 2010-10-23,70
2010-10-24 - 2010-10-30,64
2010-10-31 - 2010-11-06,61
2010-11-07 - 2010-11-13,61
2010-11-14 - 2010-11-20,72
2010-11-21 - 2010-11-27,74
2010-11-28 - 2010-12-04,55
2010-12-05 - 2010-12-11,55
2010-12-12 - 2010-12-18,63
2010-12-19 - 2010-12-25,55
2010-12-26 - 2011-01-01,62
2011-01-02 - 2011-01-08,95
2011-01-09 - 2011-01-15,91
2011-01-16 - 2011-01-22,77
2011-01-23 - 2011-01-29,74
2011-01-30 - 2011-02-05,59
2011-02-06 - 2011-02-12,59
2011-02-13 - 2011-02-19,60
2011-02-20 - 2011-02-26,61
2011-02-27 - 2011-03-05,65
2011-03-06 - 2011-03-12,46
2011-03-13 - 2011-03-19,50
2011-03-20 - 2011-03-26,64
2011-03-27 - 2011-04-02,59
2011-04-03 - 2011-04-09,63
2011-04-10 - 2011-04-16,41
2011-04-17 - 2011-04-23,55
2011-04-24 - 2011-04-30,73
2011-05-01 - 2011-05-07,60
2011-05-08 - 2011-05-14,56
2011-05-15 - 2011-05-21,51
2011-05-22 - 2011-05-28,55
2011-05-29 - 2011-06-04,64
2011-06-05 - 2011-06-11,63
2011-06-12 - 2011-06-18,77
2011-06-19 - 2011-06-25,64
2011-06-26 - 2011-07-02,69
2011-07-03 - 2011-07-09,56
2011-07-10 - 2011-07-16,61
2011-07-17 - 2011-07-23,62
2011-07-24 - 2011-07-30,50
2011-07-31 - 2011-08-06,57
2011-08-07 - 2011-08-13,55
2011-08-14 - 2011-08-20,52
2011-08-21 - 2011-08-27,63
2011-08-28 - 2011-09-03,61
2011-09-04 - 2011-09-10,53
2011-09-11 - 2011-09-17,44
2011-09-18 - 2011-09-24,71
2011-09-25 - 2011-10-01,71
2011-10-02 - 2011-10-08,72
2011-10-09 - 2011-10-15,81
2011-10-16 - 2011-10-22,62
2011-10-23 - 2011-10-29,71
2011-10-30 - 2011-11-05,71
2011-11-06 - 2011-11-12,68
2011-11-13 - 2011-11-19,68
2011-11-20 - 2011-11-26,78
2011-11-27 - 2011-12-03,57
2011-12-04 - 2011-12-10,52
2011-12-11 - 2011-12-17,62
2011-12-18 - 2011-12-24,49
2011-12-25 - 2011-12-31,49
2012-01-01 - 2012-01-07,71
2012-01-08 - 2012-01-14,71
2012-01-15 - 2012-01-21,64
2012-01-22 - 2012-01-28,58
2012-01-29 - 2012-02-04,53
2012-02-05 - 2012-02-11,50
2012-02-12 - 2012-02-18,50
2012-02-19 - 2012-02-25,56
2012-02-26 - 2012-03-03,57
2012-03-04 - 2012-03-10,64
2012-03-11 - 2012-03-17,53
2012-03-18 - 2012-03-24,58
2012-03-25 - 2012-03-31,51
2012-04-01 - 2012-04-07,42
2012-04-08 - 2012-04-14,54
2012-04-15 - 2012-04-21,45
2012-04-22 - 2012-04-28,48
2012-04-29 - 2012-05-05,45
2012-05-06 - 2012-05-12,50
2012-05-13 - 2012-05-19,39
2012-05-20 - 2012-05-26,57
2012-05-27 - 2012-06-02,53
2012-06-03 - 2012-06-09,63
2012-06-10 - 2012-06-16,60
2012-06-17 - 2012-06-23,59
2012-06-24 - 2012-06-30,58
2012-07-01 - 2012-07-07,62
2012-07-08 - 2012-07-14,58
2012-07-15 - 2012-07-21,54
2012-07-22 - 2012-07-28,48
2012-07-29 - 2012-08-04,61
2012-08-05 - 2012-08-11,62
2012-08-12 - 2012-08-18,53
2012-08-19 - 2012-08-25,50
2012-08-26 - 2012-09-01,69
2012-09-02 - 2012-09-08,76
2012-09-09 - 2012-09-15,75
2012-09-16 - 2012-09-22,75
2012-09-23 - 2012-09-29,71
2012-09-30 - 2012-10-06,82
2012-10-07 - 2012-10-13,86
2012-10-14 - 2012-10-20,78
2012-10-21 - 2012-10-27,70
2012-10-28 - 2012-11-03,75
2012-11-04 - 2012-11-10,65
2012-11-11 - 2012-11-17,63
2012-11-18 - 2012-11-24,55
2012-11-25 - 2012-12-01,53
2012-12-02 - 2012-12-08,54
2012-12-09 - 2012-12-15,50
2012-12-16 - 2012-12-22,53
2012-12-23 - 2012-12-29,60
2012-12-30 - 2013-01-05,89
2013-01-06 - 2013-01-12,87
2013-01-13 - 2013-01-19,71
2013-01-20 - 2013-01-26,64
2013-01-27 - 2013-02-02,55
2013-02-03 - 2013-02-09,55
2013-02-10 - 2013-02-16,60
2013-02-17 - 2013-02-23,58
2013-02-24 - 2013-03-02,51
2013-03-03 - 2013-03-09,48
2013-03-10 - 2013-03-16,60
2013-03-17 - 2013-03-23,43
2013-03-24 - 2013-03-30,34
2013-03-31 - 2013-04-06,49
2013-04-07 - 2013-04-13,54
2013-04-14 - 2013-04-20,51
2013-04-21 - 2013-04-27,50
2013-04-28 - 2013-05-04,55
2013-05-05 - 2013-05-11,53
2013-05-12 - 2013-05-18,53
2013-05-19 - 2013-05-25,52
2013-05-26 - 2013-06-01,50
2013-06-02 - 2013-06-08,55
2013-06-09 - 2013-06-15,62
2013-06-16 - 2013-06-22,53
2013-06-23 - 2013-06-29,55
2013-06-30 - 2013-07-06,46
2013-07-07 - 2013-07-13,46
2013-07-14 - 2013-07-20,45
2013-07-21 - 2013-07-27,45
2013-07-28 - 2013-08-03,58
2013-08-04 - 2013-08-10,54
2013-08-11 - 2013-08-17,56
2013-08-18 - 2013-08-24,56
2013-08-25 - 2013-08-31,64
2013-09-01 - 2013-09-07,56
2013-09-08 - 2013-09-14,54
2013-09-15 - 2013-09-21,55
2013-09-22 - 2013-09-28,56
2013-09-29 - 2013-10-05,66
2013-10-06 - 2013-10-12,73
2013-10-13 - 2013-10-19,49
2013-10-20 - 2013-10-26,56
2013-10-27 - 2013-11-02,48
2013-11-03 - 2013-11-09,50
2013-11-10 - 2013-11-16,46
2013-11-17 - 2013-11-23,45
2013-11-24 - 2013-11-30,50
2013-12-01 - 2013-12-07,35
2013-12-08 - 2013-12-14,55
2013-12-15 - 2013-12-21,52
2013-12-22 - 2013-12-28,28
2013-12-29 - 2014-01-04,44
2014-01-05 - 2014-01-11,69
2014-01-12 - 2014-01-18,58
2014-01-19 - 2014-01-25,54
2014-01-26 - 2014-02-01,64
2014-02-02 - 2014-02-08,53
2014-02-09 - 2014-02-15,50
2014-02-16 - 2014-02-22,58
2014-02-23 - 2014-03-01,48
2014-03-02 - 2014-03-08,45
2014-03-09 - 2014-03-15,44
2014-03-16 - 2014-03-22,39
2014-03-23 - 2014-03-29,41
2014-03-30 - 2014-04-05,45
2014-04-06 - 2014-04-12,41
2014-04-13 - 2014-04-19,44
2014-04-20 - 2014-04-26,42
2014-04-27 - 2014-05-03,54
2014-05-04 - 2014-05-10,59
2014-05-11 - 2014-05-17,44
2014-05-18 - 2014-05-24,60
2014-05-25 - 2014-05-31,50
2014-06-01 - 2014-06-07,55
2014-06-08 - 2014-06-14,64
2014-06-15 - 2014-06-21,57
2014-06-22 - 2014-06-28,58
2014-06-29 - 2014-07-05,51
2014-07-06 - 2014-07-12,58
2014-07-13 - 2014-07-19,51
2014-07-20 - 2014-07-26,48
2014-07-27 - 2014-08-02,49
2014-08-03 - 2014-08-09,45
2014-08-10 - 2014-08-16,51
2014-08-17 - 2014-08-23,42
2014-08-24 - 2014-08-30,48
2014-08-31 - 2014-09-06,44
2014-09-07 - 2014-09-13,45
2014-09-14 - 2014-09-20,61
2014-09-21 - 2014-09-27,50
2014-09-28 - 2014-10-04,62
2014-10-05 - 2014-10-11,66
2014-10-12 - 2014-10-18,55
2014-10-19 - 2014-10-25,61
2014-10-26 - 2014-11-01,51
2014-11-02 - 2014-11-08,54
2014-11-09 - 2014-11-15,56
2014-11-16 - 2014-11-22,53
2014-11-23 - 2014-11-29,45
2014-11-30 - 2014-12-06,47
2014-12-07 - 2014-12-13,46
2014-12-14 - 2014-12-20,48
2014-12-21 - 2014-12-27,42
2014-12-28 - 2015-01-03,47


Top subregions for vaccination
Subregion,vaccination
Capital Region of Denmark,100
Central Denmark Region,81
North Denmark Region,77
Syddanmark,73
Region Zealand,70


Top cities for vaccination
City,vaccination
Søborg,100
Lyngby,79
Frederiksberg,77
Hillerod,72
Aarhus,70
Copenhagen,68
Roskilde County,65
Samsø,65
Vejle County,64
Silkeborg,62
Esbjerg,62
Hvidovre,61
Aalborg,58
Randers,58
Odense,54



Top searches for vaccination
vaccine,100
vaccinationer,75
vaccination thailand,65
børn vaccination,60
hepatitis vaccination,55
hepatitis,55
vaccination hund,45
hunde vaccination,45
vaccination hpv,45
hpv,45
influenza,35
vaccination rejse,35
baby vaccination,35
influenza vaccination,35
vaccination livmoderhalskræft,30
serum institut,30
serum institut vaccination,30
hepatitis a,30
vaccination hepatitis a,30
3 måneders vaccination,25
vaccination gul feber,25
statens serum institut,25
egypten vaccination,25
vaccination århus,25
gul feber,25
stivkrampe,20
vaccination københavn,20
kat vaccination,20
seruminstituttet,20
stivkrampe vaccination,20
seruminstituttet vaccination,20
mfr vaccination,20
hepatitis b,20
vaccination indien,15
hepatitis b vaccination,15
katte vaccination,15
kina vaccination,15
vaccination mod livmoderhalskræft,15
ssi,15
hpv vaccine,15



Rising searches for vaccination
hpv,+350%
vaccination hpv,+300%
baby vaccination,+250%
vaccinationer,+160%
børn vaccination,+150%
vaccination hund,+150%
serum institut,+140%
serum institut vaccination,+130%
hepatitis a,+120%
vaccine,+120%



