Web Search interest: alvorlig
Denmark 2010-2014

Interest over time
Month,alvorlig
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,98
2011-03,100
2011-04,91
2011-05,91
2011-06,91
2011-07,77
2011-08,77
2011-09,77
2011-10,77
2011-11,82
2011-12,76
2012-01,81
2012-02,85
2012-03,89
2012-04,93
2012-05,98
2012-06,76
2012-07,71
2012-08,71
2012-09,71
2012-10,75
2012-11,82
2012-12,65
2013-01,55
2013-02,86
2013-03,60
2013-04,70
2013-05,68
2013-06,76
2013-07,68
2013-08,66
2013-09,76
2013-10,69
2013-11,77
2013-12,98
2014-01,71
2014-02,85
2014-03,75
2014-04,63
2014-05,66
2014-06,64
2014-07,67
2014-08,71
2014-09,74
2014-10,80
2014-11,79
2014-12,74


Top subregions for alvorlig
Subregion,alvorlig
Capital Region of Denmark,100
Central Denmark Region,99
North Denmark Region,0
Syddanmark,0
Region Zealand,0


Top cities for alvorlig
City,alvorlig
Copenhagen,100









