Web Search interest: blodforgiftning
Denmark Jan 2011 - Jan 2016

Interest over time
Month,blodforgiftning
2011-01,61
2011-02,55
2011-03,49
2011-04,57
2011-05,54
2011-06,57
2011-07,54
2011-08,72
2011-09,66
2011-10,52
2011-11,64
2011-12,67
2012-01,45
2012-02,50
2012-03,55
2012-04,64
2012-05,63
2012-06,64
2012-07,63
2012-08,70
2012-09,46
2012-10,53
2012-11,44
2012-12,50
2013-01,55
2013-02,47
2013-03,56
2013-04,50
2013-05,74
2013-06,59
2013-07,77
2013-08,65
2013-09,84
2013-10,54
2013-11,61
2013-12,45
2014-01,46
2014-02,57
2014-03,62
2014-04,69
2014-05,70
2014-06,67
2014-07,100
2014-08,79
2014-09,61
2014-10,54
2014-11,57
2014-12,53
2015-01,72
2015-02,65
2015-03,56
2015-04,55
2015-05,57
2015-06,69
2015-07,88
2015-08,64
2015-09,64
2015-10,54
2015-11,56
2015-12,51
2016-01,61


Top subregions for blodforgiftning
Subregion,blodforgiftning
Region Zealand,100
Capital Region of Denmark,94
Syddanmark,86
Central Denmark Region,84
North Denmark Region,0


Top cities for blodforgiftning
City,blodforgiftning
Copenhagen,100



Top searches for blodforgiftning
blodforgiftning symptomer,100






