Web Search interest: typer
Denmark 2010-2014

Interest over time
Week,typer
2010-01-03 - 2010-01-09,58
2010-01-10 - 2010-01-16,80
2010-01-17 - 2010-01-23,75
2010-01-24 - 2010-01-30,76
2010-01-31 - 2010-02-06,65
2010-02-07 - 2010-02-13,50
2010-02-14 - 2010-02-20,46
2010-02-21 - 2010-02-27,67
2010-02-28 - 2010-03-06,66
2010-03-07 - 2010-03-13,68
2010-03-14 - 2010-03-20,75
2010-03-21 - 2010-03-27,73
2010-03-28 - 2010-04-03,56
2010-04-04 - 2010-04-10,82
2010-04-11 - 2010-04-17,67
2010-04-18 - 2010-04-24,64
2010-04-25 - 2010-05-01,71
2010-05-02 - 2010-05-08,98
2010-05-09 - 2010-05-15,55
2010-05-16 - 2010-05-22,74
2010-05-23 - 2010-05-29,68
2010-05-30 - 2010-06-05,65
2010-06-06 - 2010-06-12,63
2010-06-13 - 2010-06-19,72
2010-06-20 - 2010-06-26,53
2010-06-27 - 2010-07-03,60
2010-07-04 - 2010-07-10,53
2010-07-11 - 2010-07-17,58
2010-07-18 - 2010-07-24,55
2010-07-25 - 2010-07-31,72
2010-08-01 - 2010-08-07,59
2010-08-08 - 2010-08-14,61
2010-08-15 - 2010-08-21,53
2010-08-22 - 2010-08-28,49
2010-08-29 - 2010-09-04,57
2010-09-05 - 2010-09-11,67
2010-09-12 - 2010-09-18,66
2010-09-19 - 2010-09-25,83
2010-09-26 - 2010-10-02,70
2010-10-03 - 2010-10-09,64
2010-10-10 - 2010-10-16,56
2010-10-17 - 2010-10-23,57
2010-10-24 - 2010-10-30,81
2010-10-31 - 2010-11-06,74
2010-11-07 - 2010-11-13,79
2010-11-14 - 2010-11-20,64
2010-11-21 - 2010-11-27,56
2010-11-28 - 2010-12-04,68
2010-12-05 - 2010-12-11,74
2010-12-12 - 2010-12-18,71
2010-12-19 - 2010-12-25,59
2010-12-26 - 2011-01-01,59
2011-01-02 - 2011-01-08,67
2011-01-09 - 2011-01-15,70
2011-01-16 - 2011-01-22,60
2011-01-23 - 2011-01-29,59
2011-01-30 - 2011-02-05,64
2011-02-06 - 2011-02-12,64
2011-02-13 - 2011-02-19,52
2011-02-20 - 2011-02-26,67
2011-02-27 - 2011-03-05,68
2011-03-06 - 2011-03-12,61
2011-03-13 - 2011-03-19,71
2011-03-20 - 2011-03-26,70
2011-03-27 - 2011-04-02,46
2011-04-03 - 2011-04-09,69
2011-04-10 - 2011-04-16,72
2011-04-17 - 2011-04-23,41
2011-04-24 - 2011-04-30,81
2011-05-01 - 2011-05-07,79
2011-05-08 - 2011-05-14,49
2011-05-15 - 2011-05-21,65
2011-05-22 - 2011-05-28,62
2011-05-29 - 2011-06-04,69
2011-06-05 - 2011-06-11,81
2011-06-12 - 2011-06-18,67
2011-06-19 - 2011-06-25,54
2011-06-26 - 2011-07-02,45
2011-07-03 - 2011-07-09,40
2011-07-10 - 2011-07-16,45
2011-07-17 - 2011-07-23,47
2011-07-24 - 2011-07-30,55
2011-07-31 - 2011-08-06,41
2011-08-07 - 2011-08-13,45
2011-08-14 - 2011-08-20,51
2011-08-21 - 2011-08-27,57
2011-08-28 - 2011-09-03,56
2011-09-04 - 2011-09-10,63
2011-09-11 - 2011-09-17,54
2011-09-18 - 2011-09-24,53
2011-09-25 - 2011-10-01,60
