Web Search interest: derp
Denmark 2010-2014

Interest over time
Month,derp
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,42
2010-10,47
2010-11,53
2010-12,53
2011-01,48
2011-02,55
2011-03,48
2011-04,54
2011-05,52
2011-06,55
2011-07,53
2011-08,52
2011-09,44
2011-10,57
2011-11,76
2011-12,63
2012-01,64
2012-02,100
2012-03,98
2012-04,87
2012-05,82
2012-06,69
2012-07,70
2012-08,69
2012-09,66
2012-10,61
2012-11,47
2012-12,54
2013-01,47
2013-02,43
2013-03,43
2013-04,50
2013-05,42
2013-06,55
2013-07,38
2013-08,43
2013-09,35
2013-10,36
2013-11,36
2013-12,69
2014-01,76
2014-02,40
2014-03,45
2014-04,40
2014-05,44
2014-06,36
2014-07,37
2014-08,43
2014-09,45
2014-10,49
2014-11,46
2014-12,45


Top subregions for derp
Subregion,derp
North Denmark Region,100
Central Denmark Region,90
Region Zealand,90
Syddanmark,89
Capital Region of Denmark,77


Top cities for derp
City,derp
Odense,100
Aarhus,84
Copenhagen,67



Top searches for derp
derp derp,100
herp derp,10
derp face,5



Rising searches for derp
derp derp,Breakout
derp face,Breakout
herp derp,Breakout



