Web Search interest: derp
Denmark 2004 - present

Interest over time
Month,derp
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,49
2010-10,53
2010-11,58
2010-12,45
2011-01,45
2011-02,57
2011-03,45
2011-04,64
2011-05,50
2011-06,61
2011-07,52
2011-08,49
2011-09,52
2011-10,56
2011-11,73
2011-12,63
2012-01,69
2012-02,100
2012-03,90
2012-04,81
2012-05,77
2012-06,68
2012-07,63
2012-08,67
2012-09,73
2012-10,63
2012-11,52
2012-12,55
2013-01,44
2013-02,47
2013-03,50
2013-04,52
2013-05,40
2013-06,51
2013-07,41
2013-08,43
2013-09,38
2013-10,38
2013-11,34
2013-12,66
2014-01,75
2014-02,41
2014-03,46
2014-04,43
2014-05,39
2014-06,39
2014-07,29
2014-08,46
2014-09,46
2014-10,54
2014-11,43
2014-12,44
2015-01,39
2015-02,30
2015-03,42
2015-04,37
2015-05,32
2015-06,38
2015-07,25
2015-08,34
2015-09,35
2015-10,32
2015-11,41
2015-12,37
2016-01,33
2016-02,31


Top subregions for derp
Subregion,derp
Syddanmark,100
North Denmark Region,100
Region Zealand,98
Central Denmark Region,96
Capital Region of Denmark,81


Top cities for derp
City,derp
Odense,100
Aalborg,90
Aarhus,79
Copenhagen,72



Top searches for derp
derp derp,100
herp derp,10
derp face,5



Rising searches for derp
derp derp,Breakout
derp face,Breakout
herp derp,Breakout



