Web Search interest: infektioner
Denmark 2010-2014

Interest over time
Month,infektioner
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,85
2011-06,95
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,77
2012-02,87
2012-03,97
2012-04,79
2012-05,72
2012-06,78
2012-07,76
2012-08,76
2012-09,76
2012-10,76
2012-11,88
2012-12,100
2013-01,74
2013-02,77
2013-03,64
2013-04,70
2013-05,76
2013-06,68
2013-07,60
2013-08,60
2013-09,66
2013-10,67
2013-11,62
2013-12,61
2014-01,71
2014-02,77
2014-03,59
2014-04,59
2014-05,80
2014-06,64
2014-07,65
2014-08,66
2014-09,67
2014-10,75
2014-11,82
2014-12,89


Top subregions for infektioner
Subregion,infektioner
Capital Region of Denmark,100
North Denmark Region,0
Central Denmark Region,0
Syddanmark,0
Region Zealand,0


Top cities for infektioner
City,infektioner
Copenhagen,100









